traits	patch	samp.dates	short.names
2_52169_2018.676712	3	2018.676712	2_52169
2_52168_2018.610959	3	2018.610959	2_52168
2_52167_2018.605479	3	2018.605479	2_52167
2_52162_2018.621918	3	2018.621918	2_52162
2_52159_2018.635616	3	2018.635616	2_52159
2_52158_2018.747945	3	2018.747945	2_52158
2_52156_2018.684932	3	2018.684932	2_52156
2_52152_2018.641096	3	2018.641096	2_52152
2_52150_2018.610959	3	2018.610959	2_52150
2_52149_2018.624658	3	2018.624658	2_52149
2_52148_2018.657534	3	2018.657534	2_52148
2_52146_2018.660274	3	2018.660274	2_52146
2_52144_2018.684932	3	2018.684932	2_52144
2_52143_2018.652055	3	2018.652055	2_52143
2_52142_2018.638356	3	2018.638356	2_52142
2_52139_2018.638356	3	2018.638356	2_52139
2_52138_2018.70411	3	2018.70411	2_52138
2_52137_2018.616438	3	2018.616438	2_52137
2_52136_2018.613699	3	2018.613699	2_52136
2_52133_2018.643836	3	2018.643836	2_52133
2_52131_2018.613699	3	2018.613699	2_52131
2_52129_2018.693151	3	2018.693151	2_52129
2_52128_2018.641096	3	2018.641096	2_52128
2_52127_2018.621918	3	2018.621918	2_52127
2_52126_2018.59726	3	2018.59726	2_52126
2_52125_2018.635616	3	2018.635616	2_52125
2_52124_2018.663014	3	2018.663014	2_52124
2_52123_2018.671233	3	2018.671233	2_52123
2_52122_2018.646575	3	2018.646575	2_52122
2_52120_2018.610959	3	2018.610959	2_52120
2_52117_2018.926027	3	2018.926027	2_52117
2_52116_2018.616438	3	2018.616438	2_52116
2_52115_2018.638356	3	2018.638356	2_52115
2_52114_2018.652055	3	2018.652055	2_52114
2_52111_2018.621918	3	2018.621918	2_52111
2_52108_2018.632877	3	2018.632877	2_52108
2_52105_2018.60274	3	2018.60274	2_52105
2_52102_2018.70411	3	2018.70411	2_52102
2_52100_2018.635616	3	2018.635616	2_52100
2_52097_2018.693151	3	2018.693151	2_52097
2_52095_2018.608219	3	2018.608219	2_52095
1_11608_2018.780822	2	2018.780822	1_11608
2_53061_2018.956164	3	2018.956164	2_53061
3_9502_2018.649315	4	2018.649315	3_9502
2_52093_2018.668493	3	2018.668493	2_52093
2_52092_2018.583562	3	2018.583562	2_52092
2_52091_2018.652055	3	2018.652055	2_52091
2_52088_2018.619178	3	2018.619178	2_52088
2_52087_2018.635616	3	2018.635616	2_52087
2_52085_2018.715068	3	2018.715068	2_52085
2_52084_2018.608219	3	2018.608219	2_52084
2_52083_2018.586301	3	2018.586301	2_52083
2_52081_2018.635616	3	2018.635616	2_52081
1_11607_2018.70137	2	2018.70137	1_11607
2_52079_2018.652055	3	2018.652055	2_52079
2_52075_2018.646575	3	2018.646575	2_52075
2_52073_2018.706849	3	2018.706849	2_52073
2_52072_2018.632877	3	2018.632877	2_52072
2_52071_2018.578082	3	2018.578082	2_52071
2_52070_2018.643836	3	2018.643836	2_52070
2_52066_2018.594521	3	2018.594521	2_52066
3_9499_2018.621918	4	2018.621918	3_9499
2_52064_2018.654795	3	2018.654795	2_52064
2_52063_2018.660274	3	2018.660274	2_52063
2_52059_2018.616438	3	2018.616438	2_52059
2_52058_2018.594521	3	2018.594521	2_52058
2_52057_2018.616438	3	2018.616438	2_52057
2_52055_2018.753425	3	2018.753425	2_52055
2_52054_2018.638356	3	2018.638356	2_52054
2_52050_2018.60274	3	2018.60274	2_52050
2_52049_2018.643836	3	2018.643836	2_52049
2_52046_2018.605479	3	2018.605479	2_52046
2_52045_2018.621918	3	2018.621918	2_52045
2_52044_2018.586301	3	2018.586301	2_52044
2_52042_2018.605479	3	2018.605479	2_52042
2_52035_2018.652055	3	2018.652055	2_52035
2_52032_2018.580822	3	2018.580822	2_52032
2_52031_2018.583562	3	2018.583562	2_52031
2_52025_2018.621918	3	2018.621918	2_52025
2_52024_2018.649315	3	2018.649315	2_52024
2_52023_2018.578082	3	2018.578082	2_52023
2_52022_2018.624658	3	2018.624658	2_52022
2_52021_2018.59726	3	2018.59726	2_52021
2_52015_2018.630137	3	2018.630137	2_52015
2_52014_2018.572603	3	2018.572603	2_52014
2_52013_2018.564384	3	2018.564384	2_52013
2_52012_2018.578082	3	2018.578082	2_52012
2_52011_2018.610959	3	2018.610959	2_52011
2_52009_2018.594521	3	2018.594521	2_52009
2_52007_2018.556164	3	2018.556164	2_52007
2_52005_2018.589041	3	2018.589041	2_52005
2_52001_2018.641096	3	2018.641096	2_52001
2_52000_2018.70137	3	2018.70137	2_52000
2_51997_2018.59726	3	2018.59726	2_51997
2_51989_2018.567123	3	2018.567123	2_51989
2_51985_2018.679452	3	2018.679452	2_51985
2_51981_2018.586301	3	2018.586301	2_51981
2_51979_2018.580822	3	2018.580822	2_51979
2_51972_2018.545205	3	2018.545205	2_51972
2_51970_2018.630137	3	2018.630137	2_51970
2_51968_2018.578082	3	2018.578082	2_51968
2_51963_2018.608219	3	2018.608219	2_51963
2_51961_2018.59726	3	2018.59726	2_51961
2_51960_2018.550685	3	2018.550685	2_51960
2_51959_2018.580822	3	2018.580822	2_51959
2_51958_2018.586301	3	2018.586301	2_51958
2_51957_2018.580822	3	2018.580822	2_51957
2_51955_2018.569863	3	2018.569863	2_51955
2_51953_2018.542466	3	2018.542466	2_51953
