Sample	posterior	likelihood	prior	treeLikelihood.sim1_uniform_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
10968000	-24475.21357923754	-24007.855420173437	-467.35815906410454	-24007.855420173437	-454.4615653991723	29.578207153885337	0	1	1	0	1	0	2.023931	2.023931	2.023931	0.0	0.148787	0.542041	0.0	0.143550	0.0	3	2.313648274706853E-4	1.791254746771271	0.2863599473546091	0.2188245355820857	0.23445450461078446	0.26036101245252097
10970000	-24473.818620307757	-24010.137529907213	-463.68109040054253	-24010.137529907213	-449.76395026516497	29.580168514592604	0	1	1	0	0	1	1.792216	1.792216	1.792216	0.0	0.068481	0.591928	0.0	0.0	0.107013	3	2.3495987560603036E-4	1.791254746771271	0.28462917889975603	0.2205553040369388	0.23445450461078446	0.26036101245252097
10972000	-24475.9034106803	-24002.753375250995	-473.15003542930674	-24002.753375250995	-456.1525760313839	29.3991877877175	0	1	1	1	0	1	2.057611	2.057611	2.057611	0.0	0.013538	0.507864	0.136494	0.0	0.052502	4	2.2537331356234548E-4	1.791254746771271	0.28462917889975603	0.2205553040369388	0.23445450461078446	0.26036101245252097
10974000	-24470.648185137266	-23999.321661471957	-471.3265236653108	-23999.321661471957	-457.39123118312045	29.203185748465433	1	0	1	1	1	1	1.927158	1.927158	1.927158	0.107161	0.0	0.839601	0.156166	0.037604	0.024074	5	2.2747324679424146E-4	2.0909069466909913	0.28462917889975603	0.2205553040369388	0.23445450461078446	0.26036101245252097
10976000	-24477.508186251816	-24001.282186700366	-476.225999551449	-24001.282186700366	-459.408661367199	29.200382518966364	1	1	1	1	1	0	1.953862	1.953862	1.953862	0.092965	0.035978	0.983456	0.214704	0.040765	0.0	5	2.499875289355593E-4	1.5158837921700132	0.28462917889975603	0.2205553040369388	0.23445450461078446	0.26036101245252097
10978000	-24481.996158216803	-24018.102260268875	-463.8938979479278	-24018.102260268875	-448.83181720664885	29.201996939394782	1	0	1	1	0	1	1.969729	1.969729	1.969729	0.464951	0.0	0.556344	0.123744	0.0	0.172311	4	2.4767871713128245E-4	1.5158837921700132	0.28462917889975603	0.2205553040369388	0.23445450461078446	0.26036101245252097
10980000	-24481.387232140467	-24010.357826926745	-471.0294052137223	-24010.357826926745	-448.27507705975677	29.72057578740262	1	1	1	1	0	1	1.790752	1.790752	1.790752	0.056737	0.060728	0.754836	0.154408	0.0	0.072658	5	2.389160396322677E-4	1.5158837921700132	0.28462917889975603	0.2205553040369388	0.23445450461078446	0.26036101245252097
10982000	-24488.737642484382	-24015.027276198005	-473.71036628637813	-24015.027276198005	-455.7840090742456	29.704487704532575	0	1	1	1	0	1	2.241280	2.241280	2.241280	0.0	0.036791	0.602884	0.213943	0.0	0.043948	4	2.2122397461160493E-4	2.054728317151589	0.2836564891234225	0.2205553040369388	0.23542719438711796	0.26036101245252097
10984000	-24496.39030863186	-24015.40113017331	-480.9891784585492	-24015.40113017331	-465.5797744173594	30.49596509727833	0	1	1	1	0	1	1.825156	1.825156	1.825156	0.0	0.192259	0.608838	0.006670	0.0	0.027589	4	2.2143269512186247E-4	2.054728317151589	0.2836564891234225	0.2205553040369388	0.23116022051328702	0.2646279863263519
10986000	-24489.93893871781	-24009.14561601377	-480.79332270403734	-24009.14561601377	-467.3830230260744	29.260552651088798	0	1	1	1	0	1	2.050420	2.050420	2.050420	0.0	0.046257	0.256072	0.104653	0.0	0.052774	4	2.26773019671602E-4	2.054728317151589	0.2836564891234225	0.2205553040369388	0.23116022051328702	0.2646279863263519
