mean	std	min	2_5	50	97_5	max	ESS	2_5_hpd	97_5_hpd	parameter	BF	p_value	value	model
0.00016623396426490727	9.819995471204472e-05	6.235576456029368e-08	1.2186315468707157e-05	0.0001560301955496607	0.0003855554811059992	0.0006135329283755677	559.4570949067604	6.235576456029368e-08	0.00034676437651685345	ucldStdev				dta
0.0037070323485369557	0.0018521573923341225	0.0003897036807754833	0.0010989810941947275	0.0034098220658368497	0.008102002107388614	0.0128519974254031	1789.731157214336	0.0006300515070748202	0.0072893309412091	traits_clock_rate				dta
0.26946288059917817	0.13643158995734472	0.00011157972197234776	0.022541697656362693	0.270099765080257	0.537897049665855	0.8087327471834332	800.0842991995886	0.00011157972197234776	0.497730679790157	rate_coefficientOfVariation				dta
0.0006119004126813019	0.046238543875343395	-0.1486755036981634	-0.08901733634745676	3.445909965705968e-05	0.09114454194022084	0.1832064771224172	2488.0381502169294	-0.0842168426635622	0.0940768600940303	rate_covariance				dta
0.003707032348536956	0.0018521573923341232	0.0003897036807754831	0.0010989810941947275	0.0034098220658368497	0.008102002107388614	0.0128519974254031	1789.7311572143692	0.0006300515070748214	0.0072893309412091	traits_meanRate				dta
0.2285185185185185	0.41995609876331674	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Catanduanes_Cebu				dta
0.20925925925925926	0.40685517017639805	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Catanduanes_Luzon				dta
0.2374074074074074	0.4255728009534841	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Catanduanes_Mindanao				dta
0.23333333333333334	0.42303093099790695	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Catanduanes_NegrosOriental				dta
0.23592592592592593	0.4246547690894402	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Catanduanes_OrientalMindoro				dta
0.3244444444444444	0.46825362236700807	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Cebu_Luzon				dta
0.2903703703703704	0.45401736032769613	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Cebu_Mindanao				dta
0.49148148148148146	0.5000200344537797	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Cebu_NegrosOriental				dta
0.2774074074074074	0.44780219618784006	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Cebu_OrientalMindoro				dta
0.2903703703703704	0.45401736032769613	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Luzon_Mindanao				dta
0.24888888888888888	0.4324493886638203	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Luzon_NegrosOriental				dta
0.3174074074074074	0.4655536696081414	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Luzon_OrientalMindoro				dta
0.32	0.4665625600632355	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Mindanao_NegrosOriental				dta
0.42333333333333334	0.49417878481351546	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Mindanao_OrientalMindoro				dta
0.32592592592592595	0.46880658761716565	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_NegrosOriental_OrientalMindoro				dta
0.2114814814814815	0.4084346327515012	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Cebu_Catanduanes				dta
0.9859259259259259	0.11781823150256686	0.0	1.0	1.0	1.0	1.0		1.0	1.0	indicators_Luzon_Catanduanes				dta
0.23703703703703705	0.4253439626775638	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Mindanao_Catanduanes				dta
0.24555555555555555	0.4304958352837064	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_NegrosOriental_Catanduanes				dta
0.2614814814814815	0.43952299671799844	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_OrientalMindoro_Catanduanes				dta
0.2414814814814815	0.4280607909903458	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Luzon_Cebu				dta
0.31592592592592594	0.46496968518998966	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Mindanao_Cebu				dta
0.5574074074074075	0.4967854621714663	0.0	0.0	1.0	1.0	1.0		0.0	1.0	indicators_NegrosOriental_Cebu				dta
0.35	0.47705795295535613	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_OrientalMindoro_Cebu				dta
0.42074074074074075	0.4937694494201006	0.0	0.0	0.0	1.0	1.0		0.0	1.0	indicators_Mindanao_Luzon				dta
