Sample	posterior	likelihood	prior	treeLikelihood.sim3_uniform_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
10892000	-24828.372116059363	-24359.246835075952	-469.1252809834116	-24359.246835075952	-451.78377892090623	29.845938371964923	1	1	1	0	0	1	2.085043	2.085043	2.085043	0.111463	0.125700	0.263441	0.0	0.0	0.393185	4	2.581813077864635E-4	1.873947637482742	0.28529462383393395	0.22134863094730323	0.2304188753619507	0.2629378698568132
10894000	-24818.140341395574	-24354.332586348755	-463.8077550468183	-24354.332586348755	-448.6463831874326	29.839531934692836	1	0	1	1	1	1	2.068465	2.068465	2.068465	0.351137	0.0	0.124296	0.022443	0.492441	0.011873	5	2.659240305727079E-4	1.873947637482742	0.28529462383393395	0.22134863094730323	0.2304188753619507	0.2629378698568132
10896000	-24818.148106084216	-24354.870433116976	-463.2776729672397	-24354.870433116976	-450.13657881876406	29.06459895429245	1	1	1	0	0	1	1.609753	1.609753	1.609753	0.198918	0.122195	0.116044	0.0	0.0	0.416145	4	2.895807885820302E-4	1.873947637482742	0.28731590286434366	0.22134863094730323	0.22965726968385974	0.2616781965044944
10898000	-24822.11885550482	-24352.702407584035	-469.41644792078625	-24352.702407584035	-453.7577103583381	29.06354131163677	1	1	1	0	0	1	1.966025	1.966025	1.966025	0.142565	0.039655	0.186842	0.0	0.0	0.466428	4	2.629388144318818E-4	1.9679263044335737	0.28731590286434366	0.22134863094730323	0.22965726968385974	0.2616781965044944
10900000	-24838.223713892403	-24360.622897712907	-477.60081617949675	-24360.622897712907	-463.60695462298895	29.584134742060286	1	0	1	0	0	1	2.475388	2.475388	2.475388	0.272155	0.0	0.114611	0.0	0.0	0.509617	3	2.5083173381061565E-4	1.9679263044335737	0.28731590286434366	0.22134863094730323	0.22965726968385974	0.2616781965044944
10902000	-24836.173919200297	-24362.71767729133	-473.4562419089653	-24362.71767729133	-459.17700451894433	29.089648943004867	1	1	1	0	0	1	2.163659	2.163659	2.163659	0.157431	0.037580	0.138900	0.0	0.0	0.616186	4	2.461925386117265E-4	1.9679263044335737	0.28731590286434366	0.22134863094730323	0.22965726968385974	0.2616781965044944
10904000	-24827.417289518246	-24354.351835448524	-473.0654540697219	-24354.351835448524	-458.4569343298047	30.158597556590554	1	0	1	0	1	0	2.166305	2.166305	2.166305	0.198435	0.0	0.245124	0.0	1.160714	0.0	3	2.589090973525856E-4	1.9679263044335737	0.28731590286434366	0.22134863094730323	0.22965726968385974	0.2616781965044944
10906000	-24842.09597856618	-24368.27179463079	-473.82418393538893	-24368.27179463079	-457.7723566472677	30.1554534568302	1	0	1	0	1	0	2.044266	2.044266	2.044266	0.190511	0.0	0.140594	0.0	0.505130	0.0	3	2.4458212453683036E-4	1.9679263044335737	0.28731590286434366	0.22134863094730323	0.22965726968385974	0.2616781965044944
10908000	-24839.88999666184	-24366.466592791643	-473.42340387019794	-24366.466592791643	-451.26558663228707	30.382356602837216	1	0	1	0	1	0	2.418044	2.418044	2.418044	0.234093	0.0	0.147195	0.0	1.631953	0.0	3	2.4841494926806896E-4	1.7562643321453928	0.28731590286434366	0.22134863094730323	0.22965726968385974	0.2616781965044944
10910000	-24827.733182298252	-24363.559053152116	-464.1741291461379	-24363.559053152116	-448.25686353335175	30.0527028222982	1	0	1	0	1	0	2.288222	2.288222	2.288222	0.138350	0.0	0.206844	0.0	0.378452	0.0	3	2.796744397981604E-4	1.7562643321453928	0.28731590286434366	0.22134863094730323	0.22965726968385974	0.2616781965044944
10912000	-24809.36116668467	-24357.580782197827	-451.7803844868428	-24357.580782197827	-437.61027336659487	30.04505393910639	1	1	1	1	1	1	1.494614	1.494614	1.494614	0.155386	0.018577	0.278828	0.082345	0.093938	0.273897	6	2.820077780779616E-4	1.7562643321453928	0.28731590286434366	0.22134863094730323	0.22839691450970065	0.26293855167865354
10914000	-24796.44368950921	-24345.648125807526	-450.7955637016859	-24345.648125807526	-437.3203446906819	30.0250622870017	1	1	1	0	0	1	2.030310	2.030310	2.030310	0.148382	0.070843	0.129434	0.0	0.0	0.312182	4	2.87586559466563E-4	1.7562643321453928	0.28731590286434366	0.22134863094730323	0.22839691450970065	0.26293855167865354
10916000	-24806.44019261468	-24354.50717573848	-451.93301687620067	-24354.50717573848	-438.67388258894846	30.166348955434998	1	1	1	0	1	1	1.627121	1.627121	1.627121	0.135296	0.106055	0.157085	0.0	0.038835	0.246019	5	2.772050174159323E-4	1.7562643321453928	0.28731590286434366	0.22134863094730323	0.22839691450970065	0.26293855167865354
10918000	-24810.578144067647	-24352.30278243112	-458.27536163652735	-24352.30278243112	-444.59770322329354	30.50521428337803	1	1	1	0	0	1	1.919033	1.919033	1.919033	0.250203	0.040025	0.143982	0.0	0.0	0.436686	4	2.7080409347367767E-4	1.940269503010257	0.28731590286434366	0.22134863094730323	0.22839691450970065	0.26293855167865354
10920000	-24836.96816702364	-24357.629444225007	-479.33872279863164	-24357.629444225007	-466.2999509162107	30.011199981823346	1	0	1	0	1	0	1.834740	1.834740	1.834740	0.326566	0.0	0.257606	0.0	0.042985	0.0	3	2.562435995358843E-4	1.940269503010257	0.28731590286434366	0.22134863094730323	0.22839691450970065	0.26293855167865354
10922000	-24828.909453879212	-24364.143771230312	-464.7656826489016	-24364.143771230312	-447.5486394758127	30.012746389884775	1	0	1	0	1	1	1.910392	1.910392	1.910392	0.219593	0.0	0.077694	0.0	0.172509	0.023284	4	2.726561993866877E-4	1.9885034608723362	0.28706435369355504	0.22160018011809185	0.22839691450970065	0.26293855167865354
10924000	-24840.304027032147	-24361.73441951676	-478.569607515385	-24361.73441951676	-459.79851108745555	30.026418688268016	1	0	1	0	1	1	2.403989	2.403989	2.403989	0.114266	0.0	0.066676	0.0	0.220600	0.068354	4	2.5958623584745356E-4	1.9885034608723362	0.28706435369355504	0.22160018011809185	0.22839691450970065	0.26293855167865354
10926000	-24821.238283263996	-24362.49426830206	-458.7440149619351	-24362.49426830206	-442.3714565219319	30.012600848632324	1	1	1	0	0	1	2.128440	2.128440	2.128440	0.171108	0.042996	0.223619	0.0	0.0	0.266182	4	2.622792183309778E-4	1.9885034608723362	0.28706435369355504	0.22160018011809185	0.22839691450970065	0.26293855167865354
10928000	-24839.918538396392	-24372.839698781732	-467.0788396146601	-24372.839698781732	-448.987285489094	30.01722110895671	1	0	1	0	1	1	1.875962	1.875962	1.875962	0.152181	0.0	0.237801	0.0	0.223180	0.209055	4	2.5327964767990935E-4	1.8668589672499152	0.28706435369355504	0.22168351782597287	0.22768287154389868	0.26356925693657446
10930000	-24826.824382113526	-24360.51926534057	-466.3051167729558	-24360.51926534057	-448.83008771373767	30.013490274182736	1	1	1	0	0	1	2.154623	2.154623	2.154623	0.080095	0.160323	0.113530	0.0	0.0	0.311954	4	2.761089243505546E-4	1.8668589672499152	0.28706435369355504	0.21664255067799038	0.23272383869188118	0.26356925693657446
