model	coef	intercept	slope	nSim	protocol	nSeq	matrix
mascot	0.992577667111807	0.17986570080785214	1.0133019979635058	1	maxPerRegionYear_20	500	3demes
dta	0.9917673307753904	-0.052292597518754036	1.0342205126918593	1	biased_20	500	3demes
mascot	0.9920425513980843	-0.11388885112260283	1.0527280653711677	1	biased_20	500	3demes
glm	0.9912844617270763	0.7015523887428934	0.9440625866345056	1	biased_20	500	3demes
dta	0.9830361758746132	-0.9276626613354004	1.1274200524010711	1	biased_50	150	3demes
mascot	0.9938719916053326	-0.4863338803068231	1.0425862589615276	1	biased_50	150	3demes
basta	0.9897306266464597	-0.5929193792118319	1.0703425789589212	1	biased_50	150	3demes
glm	0.9941372854588664	0.43753684146305005	0.9941610141209903	1	biased_50	150	3demes
dta	0.9964963921804696	0.2422998612890659	0.9867199982758043	1	biased_20	150	3demes
mascot	0.9810798976038957	-0.9888679272538923	1.1966110383869675	1	biased_20	150	3demes
basta	0.9944027268269318	-0.053567835675107034	0.9763709028521801	1	biased_20	150	3demes
glm	0.9881900690311534	-0.8260835720573709	1.1180891949096359	1	biased_20	150	3demes
dta	0.9915632197084225	-0.13011794959454903	1.1085397263735888	1	uniformS_10	500	3demes
mascot	0.985626687373749	-0.48998045339453	1.1539664727176289	1	uniformS_10	500	3demes
glm	0.9964401568703887	0.13596077959308772	1.00528286747012	1	uniformS_10	500	3demes
dta	0.9944806309223684	0.07746495707107215	1.0203187040444948	1	uniformS_20	150	3demes
mascot	0.9854523243994231	-1.0753397527555713	1.1492031491075996	1	uniformS_20	150	3demes
basta	0.9897727087232107	-0.03128327254925978	1.0805784621522656	1	uniformS_20	150	3demes
glm	0.9952045752153597	-0.1955016952653139	1.0462935312797055	1	uniformS_20	150	3demes
dta	0.9915507459214057	0.3842253407300227	0.9940404067317924	1	biased_5	150	3demes
mascot	0.9945884696049848	-0.33986980059349037	1.0260883902410514	1	biased_5	150	3demes
basta	0.9826308408932678	-0.9401915040355782	1.1393463263985264	1	biased_5	150	3demes
glm	0.9954473119870848	0.009471480384970477	1.0619639426317304	1	biased_5	150	3demes
dta	0.9963996474997052	0.2903100454578009	0.9905737531557697	1	uniformS_20	500	3demes
mascot	0.9968897547007879	0.06809721756048148	1.008780068146646	1	uniformS_20	500	3demes
glm	0.9961493946197678	0.05284303681226987	1.039378834360309	1	uniformS_20	500	3demes
dta	0.9904182232967085	0.537842871653119	0.9946068996089102	1	uniformS_10	150	3demes
mascot	0.9936646436522862	-0.12278051608225482	1.0545000015562755	1	uniformS_10	150	3demes
basta	0.9937630395533024	0.08538369418449676	1.0484631690911483	1	uniformS_10	150	3demes
glm	0.9924240786381339	0.4987831845670634	0.9708793182087602	1	uniformS_10	150	3demes
dta	0.9957456850472566	-0.14239258565406132	1.01893896614671	1	maxPerRegion_20	500	3demes
mascot	0.9946672098477717	-0.17333793556370836	1.0072295392304285	1	maxPerRegion_20	500	3demes
dta	0.994111378359877	0.2093458881797936	0.9908805618277936	1	uniform	500	3demes
mascot	0.9952254950042163	0.15729981409389282	0.9832801681409942	1	uniform	500	3demes
glm	0.9917085878912273	0.31031742514049654	0.9402817861544153	1	uniform	500	3demes
dta	0.9918754716763994	0.058711702316205816	1.0126507230811255	1	maxPerRegion_20	150	3demes
mascot	0.9877130968216812	0.3330634704405142	0.9753270731859577	1	maxPerRegion_20	150	3demes
basta	0.9926604509775486	0.2284172858498721	0.9577263555358684	1	maxPerRegion_20	150	3demes
dta	0.9955666725047082	0.131046851683994	1.0203067808797164	1	biased_2.5	500	3demes
mascot	0.9951885543240403	-0.17950396460533824	1.0525123537692331	1	biased_2.5	500	3demes
glm	0.9968997011064559	0.2506562036660185	0.9737207537698935	1	biased_2.5	500	3demes
dta	0.9906005531180222	0.053337246177768805	1.075753518022543	1	biased_5	500	3demes
mascot	0.9922013197307582	0.5727697831772325	0.964246454989456	1	biased_5	500	3demes
glm	0.9944010641350217	0.21094294954367143	1.0046581615376773	1	biased_5	500	3demes
dta	0.9920879833155046	0.23598675560042537	1.0190988688951195	1	maxPerRegionYear_20	150	3demes
mascot	0.9870977834992621	0.004912671942012281	1.0121163505838764	1	maxPerRegionYear_20	150	3demes
basta	0.9943726540230534	0.02388265194883843	0.9816728485342643	1	maxPerRegionYear_20	150	3demes
dta	0.990250128853151	-0.4681689206916566	1.0691575294738662	33	biased_50	500	3demes
mascot	0.9928711510861232	-0.6561696039984959	1.079745618502432	33	biased_50	500	3demes
glm	0.9803926113712239	-1.195763886908722	1.1507218287459287	33	biased_50	500	3demes
dta	0.9953518228616205	-0.26324457548859215	1.0345713063496733	33	uniformS_10	500	3demes
mascot	0.9977749214375263	-0.14509136521510868	1.0234972251378514	33	uniformS_10	500	3demes
glm	0.9961191261192243	-0.09437364656378122	1.0007598654607957	33	uniformS_10	500	3demes
dta	0.9787718388276024	0.27763866025214057	1.0306423530329947	33	biased_50	150	3demes
mascot	0.9872040927447934	0.4896724916031232	1.00597542627793	33	biased_50	150	3demes
basta	0.9724238164592591	0.0004546400603437917	1.0488042161753295	33	biased_50	150	3demes
glm	0.9814149692996694	0.11517207473206703	1.0039277764960428	33	biased_50	150	3demes
dta	0.9959415816379594	-0.060738509859572076	1.0136463840787198	33	biased_2.5	500	3demes
mascot	0.993825867282596	0.21471621889929082	0.9953979277718192	33	biased_2.5	500	3demes
glm	0.9961500826879346	-0.2532173063867589	1.0145262332235752	33	biased_2.5	500	3demes
dta	0.9789409554275698	-0.5844778874244447	1.1253162689303833	33	biased_20	500	3demes
mascot	0.9962360934515287	0.08906286134180164	0.9894499996034359	33	biased_20	500	3demes
glm	0.9969976355979259	0.15181227540871234	0.9984237761625615	33	biased_20	500	3demes
dta	0.9928736548845245	-0.41052149640981384	1.037070335873614	33	biased_5	150	3demes
mascot	0.9930551565265664	0.05339975547639497	0.9809735401088618	33	biased_5	150	3demes
basta	0.9919289625669178	0.0577778596868157	0.9751895992491129	33	biased_5	150	3demes
glm	0.9926038003056716	-0.12175287357101183	0.9742559750235599	33	biased_5	150	3demes
dta	0.9898042461270001	-0.18738926413580614	1.0568871034952723	33	biased_10	500	3demes
mascot	0.9950899811979892	-0.2223407805704234	1.0298579880900132	33	biased_10	500	3demes
glm	0.9966658272172609	-0.06632843887383544	0.9999680491910183	33	biased_10	500	3demes
dta	0.9916655458131817	-0.19246066472788925	1.010317678469009	33	maxPerRegion_20	150	3demes
mascot	0.9954065229666837	0.22109655135072614	0.9773819547385806	33	maxPerRegion_20	150	3demes
basta	0.9849070460033621	-0.4773635513446912	1.0215055871654544	33	maxPerRegion_20	150	3demes
dta	0.9835653215734023	-0.4911772796883689	1.121904786038794	33	biased_20	150	3demes
mascot	0.9895791726622911	-0.4367622516038807	1.085624779638453	33	biased_20	150	3demes
basta	0.9856755369298654	-0.5186737876333751	1.1312425652756668	33	biased_20	150	3demes
glm	0.9930369752270487	0.3556217711754144	1.010975786918659	33	biased_20	150	3demes
dta	0.9903125925629781	-0.004093747331399555	1.0294069848972043	33	maxPerRegion_10	150	3demes
mascot	0.9896676571467942	-0.09114899456807635	1.0044255756937506	33	maxPerRegion_10	150	3demes
basta	0.9901439697023906	-0.17454477700229631	1.0247680883196617	33	maxPerRegion_10	150	3demes
dta	0.9912386275777169	-0.13069754255170096	1.0413593087661914	33	maxPerRegionYear_20	150	3demes
mascot	0.9894770881005831	-0.17240897710345138	1.0417896828156248	33	maxPerRegionYear_20	150	3demes
basta	0.9861135310201768	-0.2684035518110157	1.0458720381607112	33	maxPerRegionYear_20	150	3demes
dta	0.9899396264180478	-0.1971194781232377	1.022632836297982	33	biased_2.5	150	3demes
mascot	0.964499254125323	-0.714849663879324	1.1131369117151675	33	biased_2.5	150	3demes
basta	0.9875564345350641	0.1067162311762111	0.9724723377506322	33	biased_2.5	150	3demes
glm	0.9785542416730502	-0.10243723710852137	1.0399042962950147	33	biased_2.5	150	3demes
dta	0.9823431623603734	-0.9820406151160483	1.0695092989840476	33	biased_10	150	3demes
mascot	0.987130797622616	-0.6847801891224492	1.064524599544996	33	biased_10	150	3demes
basta	0.9889777128695565	-0.39320863750401713	1.0523987917629922	33	biased_10	150	3demes
glm	0.9863757405678606	-0.2884496856272811	1.0134432517671845	33	biased_10	150	3demes
dta	0.9924973177979622	-0.491379582760775	1.1011339260527737	33	uniformS_20	150	3demes
mascot	0.995566698521593	-0.4386860525937184	0.9934308177706035	33	uniformS_20	150	3demes
basta	0.9750336183001098	-1.5297676308246189	1.1620120900016306	33	uniformS_20	150	3demes
glm	0.9898786426456329	-0.48978317376500513	1.0442271861026984	33	uniformS_20	150	3demes
dta	0.9926628413231385	-0.33248056289669137	1.0205760433495656	33	maxPerRegion_20	500	3demes
mascot	0.9958535503212771	0.020215807953036347	0.9984358546927724	33	maxPerRegion_20	500	3demes
dta	0.9839953517841695	-0.1961306002605987	1.005512556449362	33	maxPerRegionYear_10	150	3demes
mascot	0.9848135595162779	-0.28277235875495776	1.0176786962364317	33	maxPerRegionYear_10	150	3demes
basta	0.9897706403151514	-0.30678359097207775	0.9881323543467587	33	maxPerRegionYear_10	150	3demes
dta	0.9912777440593238	-0.2509736808457603	1.020913589836381	33	maxPerRegionYear_20	500	3demes
mascot	0.9870090374358325	-0.3317557448510051	1.0403680088922713	33	maxPerRegionYear_20	500	3demes
dta	0.9567794197061825	-0.710884642598753	1.090030096867714	33	uniform	150	3demes
mascot	0.9843193130230751	-0.3953656336944533	1.0337778418671164	33	uniform	150	3demes
basta	0.9828515546098995	-0.5460684792072783	1.035424821240329	33	uniform	150	3demes
glm	0.9854811708518538	-0.2703937550164923	1.0219918373205137	33	uniform	150	3demes
dta	0.9968935852823699	-0.2773841002016262	1.014772385823492	33	uniformS_20	500	3demes
mascot	0.9922907279950532	-0.07908352652555095	1.027869741606605	33	uniformS_20	500	3demes
glm	0.9935894541399605	-0.44444240487908004	1.016701126982225	33	uniformS_20	500	3demes
dta	0.989129938877683	0.12164282616498312	1.0224375984331528	33	biased_5	500	3demes
mascot	0.99804980715005	0.14538975170150437	1.0067172917435732	33	biased_5	500	3demes
glm	0.9974556295542388	-0.06619649420261098	1.0034530331649882	33	biased_5	500	3demes
dta	0.9961060001649864	-0.14947341898803757	1.0127502555893366	33	maxPerRegionYear_10	500	3demes
mascot	0.9951806997723964	-0.034996862461099454	1.0078039164866957	33	maxPerRegionYear_10	500	3demes
dta	0.9884989706361718	-0.6872734174350903	1.0882101547803882	33	uniformS_10	150	3demes
mascot	0.987316129734826	-0.7929140756770927	1.0933330275982143	33	uniformS_10	150	3demes
basta	0.9816060088490413	-0.5976171241551036	1.0927955602508732	33	uniformS_10	150	3demes
glm	0.9797119379909484	-0.010183410258935766	1.0272392808076776	33	uniformS_10	150	3demes
dta	0.990091591400568	-0.2129136007916692	1.043659639551967	33	uniform	500	3demes
mascot	0.9894463996751809	-0.290563681651971	1.0683949501726766	33	uniform	500	3demes
glm	0.9976163081867877	-0.13405401775938586	0.9897591473323722	33	uniform	500	3demes
dta	0.9947201275481679	-0.1834206676315695	1.0089444152140876	33	maxPerRegion_10	500	3demes
mascot	0.9954483817233397	-0.09028082690266714	1.0108740799765998	33	maxPerRegion_10	500	3demes
dta	0.9765354422437416	-0.09807621672795008	1.02106040103749	46	uniformS_20	500	3demes
mascot	0.9868968101521167	0.07686731704778182	0.9583904060184465	46	uniformS_20	500	3demes
glm	0.9831726033705122	-0.4345526729618072	0.9940581265832631	46	uniformS_20	500	3demes
dta	0.973255388537469	0.2798014277662908	1.0426036046820049	46	biased_5	150	3demes
mascot	0.9794952401109086	-0.11575434778686144	0.9834154198286541	46	biased_5	150	3demes
basta	0.9634158855398177	-0.313075903476296	1.0124796345305709	46	biased_5	150	3demes
glm	0.9882062217631853	-0.63943333856081	0.9683078201764189	46	biased_5	150	3demes
dta	0.9881457219329256	0.4435549804748504	1.0055130627705153	46	maxPerRegionYear_10	500	3demes
mascot	0.9825975865394313	0.24526135506927815	1.0153578021031096	46	maxPerRegionYear_10	500	3demes
dta	0.9608844520066224	-0.7899678848449803	1.1166938010055554	46	biased_20	150	3demes
mascot	0.9694435943332418	-0.6385791289876188	1.004784566823253	46	biased_20	150	3demes
basta	0.9670018293867624	-0.7381888953614464	1.1069613472116981	46	biased_20	150	3demes
glm	0.9673120213069144	-0.7954194314874918	1.0436765135888104	46	biased_20	150	3demes
dta	0.9626748838022143	0.32220725740544864	0.9704606380866283	46	uniformS_10	150	3demes
mascot	0.9833609894963036	0.02562030710241814	0.9873065031071241	46	uniformS_10	150	3demes
basta	0.9766353821646031	-0.3563973717616342	1.0526078725374406	46	uniformS_10	150	3demes
glm	0.9887271572524913	-0.15949614163471537	0.9692429384408736	46	uniformS_10	150	3demes
dta	0.9611156418134111	0.08775624811410054	1.0676898986590522	46	maxPerRegionYear_20	500	3demes
mascot	0.9778829275606696	0.29311131593488327	1.0102586236512363	46	maxPerRegionYear_20	500	3demes
dta	0.9879336245341298	0.39268543641552967	1.0304240582716448	46	biased_50	500	3demes
mascot	0.9727344287304197	-0.37191070115286706	1.075942140679351	46	biased_50	500	3demes
glm	0.9771916352177323	-0.04701471166461246	1.024981582622923	46	biased_50	500	3demes
dta	0.9529368304947199	-0.5111034538674666	1.0604105830880013	46	biased_10	500	3demes
mascot	0.9917782196622891	-0.301430637509263	1.0572400700753781	46	biased_10	500	3demes
glm	0.9879232722271837	-0.353439383607693	1.0405465244129342	46	biased_10	500	3demes
dta	0.96644257909954	-0.027295988300227947	1.144588135254317	46	maxPerRegion_10	150	3demes
mascot	0.9781375258124471	0.2740499212032148	1.07419612759655	46	maxPerRegion_10	150	3demes
basta	0.9702949243505838	0.22394325310618157	1.0317832297877427	46	maxPerRegion_10	150	3demes
dta	0.9839945431197095	-0.03537159938890255	1.0123753206369508	46	biased_5	500	3demes
mascot	0.985434933007134	0.7393038359117377	0.9664983530165588	46	biased_5	500	3demes
glm	0.9781059909247768	-0.17688995042555078	1.0370039665626882	46	biased_5	500	3demes
dta	0.971489465910132	-0.04922853678015926	1.025422381989579	46	maxPerRegion_10	500	3demes
mascot	0.9543920734108177	-0.18738736511970444	1.078981290696737	46	maxPerRegion_10	500	3demes
dta	0.984288839487307	0.1649469104557646	1.0058772925750157	46	maxPerRegionYear_20	150	3demes
mascot	0.993480178855637	-0.3265183831259826	1.0059978317356666	46	maxPerRegionYear_20	150	3demes
basta	0.9681629329882171	0.046394745965120165	1.0355665286211457	46	maxPerRegionYear_20	150	3demes
dta	0.9833836198488767	-0.2239861602452642	1.0463840539500378	46	maxPerRegion_20	150	3demes
mascot	0.961566215423943	-0.052969507030329765	1.0137558564580125	46	maxPerRegion_20	150	3demes
basta	0.9660475998148247	-0.09993766560294759	0.9574263994770702	46	maxPerRegion_20	150	3demes
dta	0.9898550369087598	-0.07095382138689388	1.0008391846103426	46	uniform	150	3demes
mascot	0.9750558736877067	0.9813800449303898	1.0065177979239226	46	uniform	150	3demes
basta	0.9406680517722498	-0.3118183489049109	1.0366215090776691	46	uniform	150	3demes
glm	0.9342372852434576	-0.23871192131985453	0.9912447877216151	46	uniform	150	3demes
dta	0.9718915604736511	-0.5626740134491541	1.0803421745974042	46	uniform	500	3demes
mascot	0.9781792372765966	-0.42345319074957644	1.0595552780412465	46	uniform	500	3demes
glm	0.978879073452239	-0.3094972262228204	1.032487080818125	46	uniform	500	3demes
dta	0.9659741038313393	-0.4221143965546794	1.074092279864155	46	uniformS_10	500	3demes
mascot	0.9798225053471322	-0.46395358671620457	1.1178058568578566	46	uniformS_10	500	3demes
glm	0.9821577195483402	-0.7339281012027179	1.049965487712892	46	uniformS_10	500	3demes
dta	0.9842396311298764	-0.6931976285475088	1.075616010145715	46	biased_20	500	3demes
mascot	0.9545292765750466	-0.5786151989143242	1.085471750043464	46	biased_20	500	3demes
glm	0.9743943674896712	-0.9055966261799426	1.0721537101790692	46	biased_20	500	3demes
dta	0.9738904541380838	-0.8710683270855739	1.0446943099707047	46	biased_10	150	3demes
mascot	0.9733266105906682	-0.978335478459524	1.0492981010998674	46	biased_10	150	3demes
basta	0.9764756434061932	-1.5909930214749721	1.0982675046596302	46	biased_10	150	3demes
glm	0.9705073969423662	0.45614659344577646	0.9346182421668985	46	biased_10	150	3demes
dta	0.9695303034078535	0.1595685088781451	1.0246675218293515	46	biased_2.5	500	3demes
mascot	0.9545342082523998	0.22399435311690752	1.0272097703765273	46	biased_2.5	500	3demes
glm	0.9638674146993317	-0.1477200424355516	1.0367852570867961	46	biased_2.5	500	3demes
dta	0.9729524045833697	-0.4297530669931042	1.0453204283441753	46	biased_50	150	3demes
mascot	0.968850874364997	-0.021322620519303115	1.0074051261795212	46	biased_50	150	3demes
basta	0.964044854788069	-0.17085270148174914	1.0574222942531453	46	biased_50	150	3demes
glm	0.9121076426175618	-1.1277058973507081	1.1622619408221682	46	biased_50	150	3demes
dta	0.9789618679004018	-1.0103852787415661	1.0751080293495097	46	uniformS_20	150	3demes
mascot	0.9575201986737762	-0.7694925839236006	1.0551678391742183	46	uniformS_20	150	3demes
basta	0.9853098481421142	0.05654382390523338	1.0521864547009974	46	uniformS_20	150	3demes
glm	0.9813460842234843	-0.5253113227176449	0.9942761466317015	46	uniformS_20	150	3demes
dta	0.9692346275147974	-0.28779037098355786	1.0800111730570527	46	biased_2.5	150	3demes
mascot	0.9799812616403596	0.11769610453117707	1.0956472221961147	46	biased_2.5	150	3demes
basta	0.9787539031807759	0.13438050919765132	1.0630684404605062	46	biased_2.5	150	3demes
glm	0.986266875740061	-0.03378667571641358	0.9906978431720728	46	biased_2.5	150	3demes
dta	0.9290232321703651	0.4971178678555752	1.0257422811637695	46	maxPerRegionYear_10	150	3demes
mascot	0.9616559212686567	0.3162876345414105	1.0372344789782915	46	maxPerRegionYear_10	150	3demes
basta	0.9798927504342984	0.020653371259474085	1.037064804373107	46	maxPerRegionYear_10	150	3demes
dta	0.9855063411425425	-0.49242361308094473	1.0380502670217011	46	maxPerRegion_20	500	3demes
mascot	0.9716482082400633	-0.26563038972236797	1.0499435067806702	46	maxPerRegion_20	500	3demes
dta	0.9919352180153114	0.09882245918108623	1.041484230376019	39	uniformS_20	500	3demes
mascot	0.9938469721875046	0.22011301068094902	0.9870128024471128	39	uniformS_20	500	3demes
glm	0.9941491293810722	0.4841293982021373	0.9632273861511406	39	uniformS_20	500	3demes
