regions	mean	X2_5_hpd	X97_5_hpd	X1	X2_5	X5	X10	X15	X20	X25	X30	X35	X40	X45	X50	X55	X60	X65	X70	X75	X80	X85	X90	X95	X97_5	X99	model	nSim	nSeq	protocol
Region2	2005.4919298420518	1988.2997331535635	2018.723961632071	1987.8837140572925	1988.1772154967284	1988.4427326993998	1988.8277319674326	1989.0672008617407	1989.2840360263099	1989.472085997898	1989.6603229089135	1989.9126793839332	2010.0639899937646	2011.6713827506067	2015.3154447275801	2015.962482947582	2016.232368835209	2016.4374327086744	2016.6141370206583	2016.8438024287575	2017.0308470364296	2017.3359848741404	2018.0140063130489	2018.449086921007	2018.6828037222463	2018.8442681687575	dta	1	500	biased_10
Region3	2009.8386394399445	1987.8781067014006	2017.2237959383453	1988.1198548779505	1988.4016712468467	1988.7814369803039	1989.0985211807194	1989.3937326887788	1989.8265082664432	2014.493232953762	2015.0652644411246	2015.2974298037996	2015.49030845317	2015.62961583104	2015.7891391494077	2015.9225751789704	2016.0021320590374	2016.090938412091	2016.1813243168372	2016.3061231923057	2016.4245324343603	2016.574433279571	2016.7544628334724	2017.1737504085884	2018.302796860865	2018.669401582954	dta	1	500	biased_10
Region1	2010.255528486303	1989.60765246266	2018.908150921883	1988.4090426004673	1989.248441965493	1989.6363421685176	1992.7701904818248	1993.4425710040612	1994.5069202776497	1995.1697977362403	1995.8115207902347	2016.3445524911265	2017.2291415128755	2017.5823484152859	2017.7925063673447	2017.945334242577	2018.0585541949665	2018.1587335350152	2018.2335473952917	2018.3196377499246	2018.405375280497	2018.4936760207568	2018.57415929845	2018.70951518322	2018.7817530576453	2018.8332427208456	dta	1	500	biased_20
Region2	1991.2965826841812	1987.2362113199854	2017.8806034577594	1986.9951969877536	1987.3533136912827	1987.807281356175	1988.14314530338	1988.3626120345807	1988.5158230117602	1988.644708091422	1988.735935081251	1988.8385318462404	1988.9264847505797	1988.9803045433273	1989.051633719619	1989.1215195564778	1989.1803042870029	1989.2473089687078	1989.3246008948663	1989.4066070461597	1989.4847938417818	1989.585184188967	1989.7596235382698	2017.4703109151628	2018.0768193852798	2018.4708079095317	dta	1	500	biased_20
Region3	2010.7012585313266	2009.2822185664877	2014.2914487490102	1988.1188526855433	1988.8754661828011	2009.6694323234535	2010.2244579338665	2010.5130571939837	2010.6998693386943	2010.8377398181933	2010.961723918443	2011.07009344573	2011.1658377999483	2011.2500639617754	2011.3219799756364	2011.395673105465	2011.467534721331	2011.5402795529508	2011.6487205259511	2011.7621798481287	2011.881138795802	2012.0303652626776	2012.3003597498482	2012.9417578129573	2013.8163020953473	2014.427563124693	dta	1	500	biased_20
Region1	2007.746989843421	1994.5622895361978	2016.0421569690648	1993.5350788647784	1993.9704227099223	1994.6457660157537	1995.2650751373217	1995.73336958511	1996.1017290805564	1996.604494437679	1997.269444281011	1998.4378753329142	2012.7745327129262	2013.2158376765008	2013.5394753821738	2013.7812798475547	2013.9422817265377	2014.1242099705296	2014.3320233170236	2014.4578336878194	2014.6319820050262	2014.9032696182583	2015.1541254453982	2015.4728382438025	2015.8245093617275	2016.0434556224131	dta	1	500	biased_50
Region2	1989.0531928996354	1986.701719481212	1990.7009671265516	1986.0260070329011	1986.615962799167	1987.0063112626679	1987.410083209444	1987.6402930996062	1987.8219421650203	1988.0334742147766	1988.1863438651317	1988.3043853128834	1988.4434140116336	1988.5471993692656	1988.677078663458	1988.7950962648972	1988.9007994435726	1989.009581552637	1989.148896357314	1989.3471007952294	1989.5107057390076	1989.6767529174615	1989.894116014655	1990.2815517907036	1990.6737044803551	2013.491376021329	dta	1	500	biased_50
Region3	2003.4417505847575	2001.3714526563904	2006.7072079851941	1988.5188246181058	2000.9417808176927	2001.5761203112438	2002.1205342874657	2002.3837668754256	2002.6300911649003	2002.8161574923338	2003.0183677819134	2003.160558590384	2003.2979423471525	2003.4447480123083	2003.600183200809	2003.7217631358835	2003.8515032115413	2004.0113263933442	2004.2009450678404	2004.3316882985096	2004.5682722264482	2004.8765238471494	2005.22348531115	2005.8853198252755	2006.4568959100945	2006.9993870079195	dta	1	500	biased_50
Region1	1992.5896002404354	1987.3967493721807	2018.0096400790226	1987.1169722769012	1987.4279879482515	1987.6786652439769	1988.0346769101538	1988.2466567760648	1988.4488482033908	1988.6386656294687	1988.7650861971197	1988.8656109351593	1989.0004362332168	1989.0942496359964	1989.219150273074	1989.299257459431	1989.3859803827443	1989.4914035096451	1989.6135671745437	1989.7019598411182	1989.8313281970395	1989.962283885492	2017.1072607967437	2017.7767607539001	2018.1376506883591	2018.3855079357872	dta	1	500	maxPerRegion_20
Region2	2005.5211979103365	1988.8158527916949	2011.5791851575223	1987.8231837471142	1988.2752861542356	1989.5581222431829	1998.7640584212963	1999.7615254283737	2000.416057991335	2001.1853343117393	2001.889691868572	2003.887411936618	2004.9109223655682	2006.7318412910256	2008.393403697799	2009.3539321112755	2009.6922352897568	2010.0595447940873	2010.304765516279	2010.4864889051835	2010.6628266400112	2010.8383959900912	2011.0569495773177	2011.2376940849038	2011.3468086935038	2011.5798031085	dta	1	500	maxPerRegion_20
