regions	value	model	nSim	nSeq	protocol
Region3	2000.169999	simulation	31	500	maxPerRegionYear_10
Region1	1989.394521	simulation	31	500	maxPerRegion_5
Region2	2010.5643850000001	simulation	31	500	maxPerRegion_5
Region3	2012.868494	simulation	31	500	maxPerRegion_5
Region1	1989.164384	simulation	31	500	uniform
Region2	2013.7726030000001	simulation	31	500	uniform
Region3	1999.245476	simulation	31	500	uniform
Region1	1989.164384	simulation	31	500	uniformS_2.5
Region2	2011.073973	simulation	31	500	uniformS_2.5
Region3	1998.791781	simulation	31	500	uniformS_2.5
Region1	1989.394521	simulation	31	500	maxPerRegion_20
Region2	2012.5397269999999	simulation	31	500	maxPerRegion_20
Region3	2000.298766	simulation	31	500	maxPerRegion_20
Region1	1989.394521	simulation	31	500	uniformS_20
Region2	2011.6266349999999	simulation	31	500	uniformS_20
Region3	2000.901371	simulation	31	500	uniformS_20
Region1	1989.394521	simulation	31	500	uniformS_50
Region2	2010.8931509999998	simulation	31	500	uniformS_50
Region3	2007.295359	simulation	31	500	uniformS_50
Region1	1989.394521	simulation	31	500	maxPerRegion_50
Region2	2011.372603	simulation	31	500	maxPerRegion_50
Region3	1999.131507	simulation	31	500	maxPerRegion_50
Region1	1989.164384	simulation	31	500	uniformS_10
Region2	2012.293151	simulation	31	500	uniformS_10
Region3	1998.698631	simulation	31	500	uniformS_10
Region1	1989.758904	simulation	13	500	maxPerRegionYear_2.5
Region2	2011.9958980000001	simulation	13	500	maxPerRegionYear_2.5
Region3	2007.963021	simulation	13	500	maxPerRegionYear_2.5
Region1	1993.172603	simulation	13	500	biased_10
Region2	2014.8712329999998	simulation	13	500	biased_10
Region3	1999.326028	simulation	13	500	biased_10
Region1	1993.172603	simulation	13	500	uniformS_20
Region2	2014.920526	simulation	13	500	uniformS_20
Region3	1999.410937	simulation	13	500	uniformS_20
Region1	1992.631148	simulation	13	500	uniformS_2.5
Region2	2014.59765	simulation	13	500	uniformS_2.5
Region3	2010.5647729999998	simulation	13	500	uniformS_2.5
Region1	1990.030137	simulation	13	500	biased_2.5
Region2	2011.268493	simulation	13	500	biased_2.5
Region3	2004.974122	simulation	13	500	biased_2.5
Region1	1992.131148	simulation	13	500	maxPerRegion_10
Region2	2014.561285	simulation	13	500	maxPerRegion_10
Region3	2009.4407370000001	simulation	13	500	maxPerRegion_10
Region1	1993.172603	simulation	13	500	biased_50
Region2	2014.545206	simulation	13	500	biased_50
Region3	2004.2125839999999	simulation	13	500	biased_50
Region1	1993.172603	simulation	13	500	biased_20
Region2	2013.317741	simulation	13	500	biased_20
Region3	2005.810892	simulation	13	500	biased_20
Region1	1993.172603	simulation	13	500	uniformS_10
