source	destination	value	model	nSim	nSeq	protocol
Region6	Region5	0.0	simulation	1	150	maxPerRegion_5
Region7	Region5	0.0	simulation	1	150	maxPerRegion_5
Region1	Region6	0.0	simulation	1	150	maxPerRegion_5
Region2	Region6	2.0	simulation	1	150	maxPerRegion_5
Region3	Region6	0.0	simulation	1	150	maxPerRegion_5
Region4	Region6	0.0	simulation	1	150	maxPerRegion_5
Region5	Region6	0.0	simulation	1	150	maxPerRegion_5
Region6	Region6	0.0	simulation	1	150	maxPerRegion_5
Region7	Region6	0.0	simulation	1	150	maxPerRegion_5
Region1	Region7	0.0	simulation	1	150	maxPerRegion_5
Region2	Region7	2.0	simulation	1	150	maxPerRegion_5
Region3	Region7	0.0	simulation	1	150	maxPerRegion_5
Region4	Region7	0.0	simulation	1	150	maxPerRegion_5
Region5	Region7	0.0	simulation	1	150	maxPerRegion_5
Region6	Region7	0.0	simulation	1	150	maxPerRegion_5
Region7	Region7	0.0	simulation	1	150	maxPerRegion_5
Region1	Region1	2.0	simulation	1	150	uniformS_50
Region2	Region1	1.0	simulation	1	150	uniformS_50
Region3	Region1	0.0	simulation	1	150	uniformS_50
Region4	Region1	0.0	simulation	1	150	uniformS_50
Region5	Region1	0.0	simulation	1	150	uniformS_50
Region6	Region1	0.0	simulation	1	150	uniformS_50
Region7	Region1	0.0	simulation	1	150	uniformS_50
Region1	Region2	3.0	simulation	1	150	uniformS_50
Region2	Region2	18.0	simulation	1	150	uniformS_50
Region3	Region2	0.0	simulation	1	150	uniformS_50
Region4	Region2	1.0	simulation	1	150	uniformS_50
Region5	Region2	0.0	simulation	1	150	uniformS_50
Region6	Region2	0.0	simulation	1	150	uniformS_50
Region7	Region2	0.0	simulation	1	150	uniformS_50
Region1	Region3	1.0	simulation	1	150	uniformS_50
Region2	Region3	10.0	simulation	1	150	uniformS_50
Region3	Region3	98.0	simulation	1	150	uniformS_50
Region4	Region3	4.0	simulation	1	150	uniformS_50
Region5	Region3	0.0	simulation	1	150	uniformS_50
Region6	Region3	0.0	simulation	1	150	uniformS_50
Region7	Region3	0.0	simulation	1	150	uniformS_50
Region1	Region4	0.0	simulation	1	150	uniformS_50
Region2	Region4	8.0	simulation	1	150	uniformS_50
Region3	Region4	4.0	simulation	1	150	uniformS_50
Region4	Region4	141.0	simulation	1	150	uniformS_50
Region5	Region4	0.0	simulation	1	150	uniformS_50
