regions	mean	X2_5_hpd	X97_5_hpd	X1	X2_5	X5	X10	X15	X20	X25	X30	X35	X40	X45	X50	X55	X60	X65	X70	X75	X80	X85	X90	X95	X97_5	X99	model	nSim	nSeq	protocol
Region1	2003.0318283461202	1988.3170366300378	2006.219490831113	1987.5114008011533	1988.0428315739432	1988.530838619306	1989.4091113768147	2003.4540802101235	2003.8711576224262	2004.116089920527	2004.305995122307	2004.4490009232736	2004.5853179936848	2004.6945069961316	2004.8116558255635	2004.919699001119	2005.0255473685818	2005.1238102672755	2005.2254054593761	2005.336393238017	2005.4552309925468	2005.5788482501341	2005.7240886836198	2005.933961237658	2006.0927867753824	2006.2875463027945	mascot	1	150	maxPerRegion_20
Region2	1993.6323402263608	1987.1722355762174	2005.8606680333935	1986.6661067357402	1987.0504958444385	1987.3936942953808	1987.7381207585738	1987.9785305622158	1988.166216426863	1988.3198115578841	1988.4731901162584	1988.609624841363	1988.7467287010768	1988.8920339074805	1989.0401646514415	1989.2012875142377	1989.4201737637468	1989.9104603599337	1998.7427799487896	2003.6224258577126	2004.2357859473345	2004.6699234664677	2005.0643565024343	2005.4822158699164	2005.7585012833736	2006.0849303462007	mascot	1	150	maxPerRegion_20
Region3	1995.2567146345539	1991.2111111762888	1999.6337451060906	1990.2794103394701	1991.2552508137253	1991.7617215616622	1992.249428870544	1992.5288199585184	1992.7941126070878	1993.0244170476076	1993.278453045568	1993.5892057467393	1994.1242427879592	1995.1218736137241	1995.625693651696	1995.9575507874495	1996.2204229185518	1996.476575514085	1996.7362009007063	1997.0308389849154	1997.4249802783338	1997.9837443881606	1998.5304762768046	1999.1594235822836	1999.69749227133	2000.6496895437015	mascot	1	150	maxPerRegion_20
Region4	1993.0203099990883	1988.5950825797133	2000.1215559910067	1987.8031662301441	1988.5866168314533	1989.2530224681457	1989.9591952077242	1990.3574868398537	1990.6331081184837	1990.831538988706	1991.0166968283916	1991.1882268754464	1991.349776994626	1991.5186979220036	1991.70786961056	1991.9131066428279	1992.1643843762963	1992.5371143857915	1993.1202643276324	1994.1191490584454	1996.9254574210656	1998.3062228791064	1999.0117384643922	1999.5890770432172	2000.119586518475	2001.7716090029503	mascot	1	150	maxPerRegion_20
Region5	1995.2822266148048	1991.263768745045	2000.239012131003	1988.840146535663	1991.0423565968351	1992.5115521092193	1993.5085352235758	1993.8568498899901	1994.1155128909238	1994.2983469403907	1994.4514396246436	1994.5909435856668	1994.7288096463474	1994.8522777962062	1994.9827621814736	1995.1135728547158	1995.2631884324476	1995.4166948936502	1995.6097346972617	1995.8791724505663	1996.5537190490852	1997.4160466466951	1998.0755934437052	1998.9045755087914	2000.0560271092293	2001.9075533178498	mascot	1	150	maxPerRegion_20
Region6	1996.358486745259	1986.9696442336406	2002.4976396575557	1986.9697639316967	1987.4465723187782	1987.8904977744812	1988.40310116828	1988.8794403335114	1990.0893924274635	1995.338424149019	1996.0882324164957	1996.4524782396713	1996.7202549765507	1996.9563141338035	1997.1570501295932	1997.3624131458175	1997.6091322275122	1997.9119774933097	1998.649936476169	1999.7516043591	2000.355517713528	2000.93308090912	2001.5096684321663	2002.23964289727	2003.5957036739032	2005.0398499775977	mascot	1	150	maxPerRegion_20
Region7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mascot	1	150	maxPerRegion_20
Region1	2001.8600236013963	1999.7761195092805	2003.6156888305784	1998.7584548220366	1999.5771825803758	2000.0784943866515	2000.5545018523064	2000.8534248947901	2001.1143147084638	2001.2905404070477	2001.440150714995	2001.5851108569486	2001.7298013299257	2001.8618159948155	2001.984651365982	2002.0934635526917	2002.2205114205076	2002.3470718530305	2002.4679116660543	2002.5898703438227	2002.720094433335	2002.8985987027618	2003.0818028001675	2003.335290936588	2003.5287151601376	2003.8712422602164	mascot	1	150	biased_50
Region2	1994.0395442634542	1989.9311234952868	2004.949763629864	1989.899308850272	1990.3124309855004	1990.723160388786	1991.1362246140739	1991.4341839624246	1991.6408737695508	1991.8219577193681	1991.9892277222982	1992.1538826579283	1992.3078761546274	1992.4516099182365	1992.5910799370126	1992.722678876732	1992.863656117861	1993.0039314746048	1993.1671222813688	1993.3640590177185	1993.5923983122173	1994.3546731538133	2003.0342701936784	2004.4755643975325	2006.3076992259885	2007.9071504436386	mascot	1	150	biased_50
Region3	2003.1318527400115	1992.3783990744057	2007.4202296220456	1991.317951111124	1992.046105864368	1993.1197427455554	2000.1944904531845	2000.7966740508425	2001.270316766143	2001.7668209001893	2002.4234273980205	2002.8927112261167	2003.2390378305395	2003.5603463208715	2003.954948715032	2004.3064059300268	2004.6198393170257	2004.8838955658905	2005.1173746405511	2005.3749750491484	2005.6266519219607	2005.8517476819577	2006.1745929045805	2006.6889063680278	2007.126761180351	2007.6940774188165	mascot	1	150	biased_50
