traits	patch	samp.dates	short.names
4_19957_2010.610959	5	2010.610959	4_19957
4_19956_2010.547945	5	2010.547945	4_19956
4_19955_2010.687671	5	2010.687671	4_19955
2_22568_2010.536986	3	2010.536986	2_22568
4_19953_2010.50137	5	2010.50137	4_19953
2_22567_2010.523288	3	2010.523288	2_22567
4_19949_2010.49863	5	2010.49863	4_19949
2_22566_2010.539726	3	2010.539726	2_22566
4_19948_2010.553425	5	2010.553425	4_19948
4_19947_2010.630137	5	2010.630137	4_19947
4_19946_2010.506849	5	2010.506849	4_19946
3_9274_2010.520548	4	2010.520548	3_9274
2_22564_2010.556164	3	2010.556164	2_22564
4_19944_2010.550685	5	2010.550685	4_19944
4_19943_2010.526027	5	2010.526027	4_19943
4_19939_2010.523288	5	2010.523288	4_19939
4_19938_2010.509589	5	2010.509589	4_19938
4_19937_2010.536986	5	2010.536986	4_19937
4_19936_2010.523288	5	2010.523288	4_19936
3_9273_2010.536986	4	2010.536986	3_9273
2_22562_2010.542466	3	2010.542466	2_22562
4_19933_2010.49863	5	2010.49863	4_19933
3_9271_2010.542466	4	2010.542466	3_9271
2_22559_2010.482192	3	2010.482192	2_22559
4_19929_2010.476712	5	2010.476712	4_19929
4_19928_2010.476712	5	2010.476712	4_19928
2_22557_2010.482192	3	2010.482192	2_22557
2_22556_2010.50137	3	2010.50137	2_22556
2_22555_2010.490411	3	2010.490411	2_22555
4_19926_2010.435616	5	2010.435616	4_19926
2_22554_2010.443836	3	2010.443836	2_22554
2_22553_2010.487671	3	2010.487671	2_22553
4_19923_2010.452055	5	2010.452055	4_19923
4_19922_2010.454795	5	2010.454795	4_19922
3_9270_2010.484932	4	2010.484932	3_9270
4_19919_2010.471233	5	2010.471233	4_19919
4_19917_2010.410959	5	2010.410959	4_19917
2_22551_2010.583562	3	2010.583562	2_22551
4_19916_2010.421918	5	2010.421918	4_19916
4_19915_2010.528767	5	2010.528767	4_19915
4_19914_2010.432877	5	2010.432877	4_19914
4_19912_2010.405479	5	2010.405479	4_19912
4_19911_2010.443836	5	2010.443836	4_19911
4_19910_2010.613699	5	2010.613699	4_19910
2_22549_2010.471233	3	2010.471233	2_22549
3_9269_2010.449315	4	2010.449315	3_9269
3_9268_2010.490411	4	2010.490411	3_9268
4_19907_2010.421918	5	2010.421918	4_19907
4_19904_2010.460274	5	2010.460274	4_19904
3_9267_2010.465753	4	2010.465753	3_9267
1_9899_2010.438356	2	2010.438356	1_9899
4_19903_2010.416438	5	2010.416438	4_19903
4_19902_2010.432877	5	2010.432877	4_19902
2_22546_2010.430137	3	2010.430137	2_22546
4_19900_2010.438356	5	2010.438356	4_19900
4_19899_2010.386301	5	2010.386301	4_19899
1_9898_2010.476712	2	2010.476712	1_9898
4_19898_2010.432877	5	2010.432877	4_19898
4_19897_2010.509589	5	2010.509589	4_19897
3_9265_2010.463014	4	2010.463014	3_9265
2_22545_2010.449315	3	2010.449315	2_22545
1_9897_2010.378082	2	2010.378082	1_9897
4_19895_2010.413699	5	2010.413699	4_19895
4_19894_2010.383562	5	2010.383562	4_19894
2_22542_2010.394521	3	2010.394521	2_22542
2_22540_2010.39726	3	2010.39726	2_22540
4_19893_2010.430137	5	2010.430137	4_19893
4_19891_2010.449315	5	2010.449315	4_19891
3_9263_2010.375342	4	2010.375342	3_9263
2_22538_2010.50411	3	2010.50411	2_22538
2_22537_2010.408219	3	2010.408219	2_22537
2_22536_2010.356164	3	2010.356164	2_22536
2_22535_2010.479452	3	2010.479452	2_22535
2_22534_2010.389041	3	2010.389041	2_22534
4_19885_2010.380822	5	2010.380822	4_19885
2_22533_2010.369863	3	2010.369863	2_22533
0_13062_2010.484932	1	2010.484932	0_13062
4_19884_2010.421918	5	2010.421918	4_19884
2_22531_2010.375342	3	2010.375342	2_22531
4_19880_2010.394521	5	2010.394521	4_19880
2_22529_2010.443836	3	2010.443836	2_22529
2_22528_2010.378082	3	2010.378082	2_22528
4_19877_2010.405479	5	2010.405479	4_19877
2_22525_2010.413699	3	2010.413699	2_22525
4_19876_2010.372603	5	2010.372603	4_19876
2_22523_2010.353425	3	2010.353425	2_22523
2_22522_2010.331507	3	2010.331507	2_22522
2_22521_2010.364384	3	2010.364384	2_22521
2_22519_2010.386301	3	2010.386301	2_22519
4_19873_2010.361644	5	2010.361644	4_19873
4_19872_2010.334247	5	2010.334247	4_19872
4_19871_2010.345205	5	2010.345205	4_19871
4_19865_2010.353425	5	2010.353425	4_19865
4_19864_2010.361644	5	2010.361644	4_19864
3_9260_2010.342466	4	2010.342466	3_9260
1_9894_2010.323288	2	2010.323288	1_9894
1_9893_2010.424658	2	2010.424658	1_9893
4_19861_2010.30411	5	2010.30411	4_19861
4_19857_2010.309589	5	2010.309589	4_19857
4_19856_2010.320548	5	2010.320548	4_19856
4_19855_2010.334247	5	2010.334247	4_19855
3_9257_2010.410959	4	2010.410959	3_9257
2_22512_2010.290411	3	2010.290411	2_22512
2_22511_2010.306849	3	2010.306849	2_22511
5_2739_2010.279452	6	2010.279452	5_2739
4_19852_2010.284932	5	2010.284932	4_19852
4_19851_2010.367123	5	2010.367123	4_19851
4_19850_2010.323288	5	2010.323288	4_19850
4_19849_2010.290411	5	2010.290411	4_19849
4_19848_2010.287671	5	2010.287671	4_19848
5_2738_2010.443836	6	2010.443836	5_2738
4_19847_2010.271233	5	2010.271233	4_19847
2_22508_2010.361644	3	2010.361644	2_22508
4_19844_2010.265753	5	2010.265753	4_19844
2_22507_2010.323288	3	2010.323288	2_22507
4_19843_2010.378082	5	2010.378082	4_19843
4_19840_2010.394521	5	2010.394521	4_19840
3_9255_2010.273973	4	2010.273973	3_9255
4_19837_2010.326027	5	2010.326027	4_19837
3_9253_2010.284932	4	2010.284932	3_9253
3_9252_2010.284932	4	2010.284932	3_9252
2_22504_2010.263014	3	2010.263014	2_22504
4_19836_2010.265753	5	2010.265753	4_19836
4_19835_2010.260274	5	2010.260274	4_19835
3_9251_2010.30411	4	2010.30411	3_9251
4_19834_2010.265753	5	2010.265753	4_19834
4_19832_2010.268493	5	2010.268493	4_19832
4_19831_2010.315068	5	2010.315068	4_19831
4_19827_2010.380822	5	2010.380822	4_19827
0_13058_2010.317808	1	2010.317808	0_13058
4_19826_2010.257534	5	2010.257534	4_19826
4_19825_2010.241096	5	2010.241096	4_19825
4_19824_2010.271233	5	2010.271233	4_19824
2_22499_2010.271233	3	2010.271233	2_22499
0_13057_2010.293151	1	2010.293151	0_13057
4_19818_2010.246575	5	2010.246575	4_19818
2_22496_2010.216438	3	2010.216438	2_22496
4_19817_2010.254795	5	2010.254795	4_19817
2_22495_2010.257534	3	2010.257534	2_22495
1_9888_2010.216438	2	2010.216438	1_9888
4_19816_2010.282192	5	2010.282192	4_19816
1_9887_2010.252055	2	2010.252055	1_9887
2_22494_2010.238356	3	2010.238356	2_22494
1_9885_2010.268493	2	2010.268493	1_9885
4_19811_2010.252055	5	2010.252055	4_19811
2_22492_2010.227397	3	2010.227397	2_22492
5_2735_2010.186301	6	2010.186301	5_2735
2_22491_2010.257534	3	2010.257534	2_22491
0_13056_2010.208219	1	2010.208219	0_13056
4_19808_2010.19726	5	2010.19726	4_19808
4_20169_2012.169399	5	2012.169399	4_20169
4_19807_2010.194521	5	2010.194521	4_19807
3_9245_2010.263014	4	2010.263014	3_9245
2_22489_2010.254795	3	2010.254795	2_22489
2_22487_2010.180822	3	2010.180822	2_22487
1_9882_2010.194521	2	2010.194521	1_9882
1_9881_2010.172603	2	2010.172603	1_9881
1_9880_2010.265753	2	2010.265753	1_9880
1_9879_2010.189041	2	2010.189041	1_9879
3_9243_2010.216438	4	2010.216438	3_9243
3_9242_2010.257534	4	2010.257534	3_9242
2_22484_2010.232877	3	2010.232877	2_22484
1_9876_2010.268493	2	2010.268493	1_9876
5_2734_2010.252055	6	2010.252055	5_2734
2_22483_2010.230137	3	2010.230137	2_22483
1_9874_2010.20274	2	2010.20274	1_9874
1_9873_2010.224658	2	2010.224658	1_9873
0_13055_2010.216438	1	2010.216438	0_13055
4_19801_2010.191781	5	2010.191781	4_19801
2_22482_2010.183562	3	2010.183562	2_22482
4_19799_2010.153425	5	2010.153425	4_19799
4_19797_2010.194521	5	2010.194521	4_19797
2_22480_2010.186301	3	2010.186301	2_22480
2_22477_2010.150685	3	2010.150685	2_22477
3_9240_2010.227397	4	2010.227397	3_9240
0_13054_2010.342466	1	2010.342466	0_13054
5_2730_2010.164384	6	2010.164384	5_2730
1_9870_2010.150685	2	2010.150685	1_9870
4_19793_2010.208219	5	2010.208219	4_19793
3_9239_2010.2	4	2010.2	3_9239
2_22473_2010.249315	3	2010.249315	2_22473
4_19790_2010.252055	5	2010.252055	4_19790
4_19789_2010.145205	5	2010.145205	4_19789
1_9867_2010.156164	2	2010.156164	1_9867
5_2729_2010.139726	6	2010.139726	5_2729
4_19786_2010.156164	5	2010.156164	4_19786
3_9236_2010.150685	4	2010.150685	3_9236
2_22467_2010.2	3	2010.2	2_22467
2_22466_2010.139726	3	2010.139726	2_22466
1_9865_2010.246575	2	2010.246575	1_9865
3_9235_2010.145205	4	2010.145205	3_9235
2_22463_2010.178082	3	2010.178082	2_22463
2_22461_2010.136986	3	2010.136986	2_22461
3_9234_2010.167123	4	2010.167123	3_9234
2_22459_2010.167123	3	2010.167123	2_22459
1_9864_2010.161644	2	2010.161644	1_9864
2_22458_2010.10411	3	2010.10411	2_22458
4_19785_2010.139726	5	2010.139726	4_19785
