parameterChar	value	parameter	nSeq	protocol	matrix	nSim
Region2_Region2	11657.0	migrationCount	150	biased_20	migrationrates	3
Region2_Region3	96.0	migrationCount	150	biased_20	migrationrates	3
Region2_Region4	72.0	migrationCount	150	biased_20	migrationrates	3
Region2_Region5	49.0	migrationCount	150	biased_20	migrationrates	3
Region2_Region6	15.0	migrationCount	150	biased_20	migrationrates	3
Region2_Region7	1.0	migrationCount	150	biased_20	migrationrates	3
Region3_Region2	94.0	migrationCount	150	biased_20	migrationrates	3
Region3_Region3	23434.0	migrationCount	150	biased_20	migrationrates	3
Region3_Region4	60.0	migrationCount	150	biased_20	migrationrates	3
Region3_Region5	3.0	migrationCount	150	biased_20	migrationrates	3
Region3_Region6	1.0	migrationCount	150	biased_20	migrationrates	3
Region4_Region1	3.0	migrationCount	150	biased_20	migrationrates	3
Region4_Region2	8.0	migrationCount	150	biased_20	migrationrates	3
Region4_Region3	15.0	migrationCount	150	biased_20	migrationrates	3
Region4_Region4	5390.0	migrationCount	150	biased_20	migrationrates	3
Region4_Region5	31.0	migrationCount	150	biased_20	migrationrates	3
Region4_Region6	1.0	migrationCount	150	biased_20	migrationrates	3
Region5_Region2	5.0	migrationCount	150	biased_20	migrationrates	3
Region5_Region3	5.0	migrationCount	150	biased_20	migrationrates	3
Region5_Region4	26.0	migrationCount	150	biased_20	migrationrates	3
Region5_Region5	8552.0	migrationCount	150	biased_20	migrationrates	3
Region5_Region6	21.0	migrationCount	150	biased_20	migrationrates	3
Region6_Region5	10.0	migrationCount	150	biased_20	migrationrates	3
Region6_Region6	2429.0	migrationCount	150	biased_20	migrationrates	3
Region6_Region7	8.0	migrationCount	150	biased_20	migrationrates	3
Region7_Region7	52.0	migrationCount	150	biased_20	migrationrates	3
Region1_Region6	NA	migrationCount	150	biased_20	migrationrates	3
Region1_Region7	NA	migrationCount	150	biased_20	migrationrates	3
Region3_Region1	NA	migrationCount	150	biased_20	migrationrates	3
Region3_Region7	NA	migrationCount	150	biased_20	migrationrates	3
Region4_Region7	NA	migrationCount	150	biased_20	migrationrates	3
Region5_Region1	NA	migrationCount	150	biased_20	migrationrates	3
Region5_Region7	NA	migrationCount	150	biased_20	migrationrates	3
Region6_Region1	NA	migrationCount	150	biased_20	migrationrates	3
Region6_Region2	NA	migrationCount	150	biased_20	migrationrates	3
Region6_Region3	NA	migrationCount	150	biased_20	migrationrates	3
Region6_Region4	NA	migrationCount	150	biased_20	migrationrates	3
Region7_Region1	NA	migrationCount	150	biased_20	migrationrates	3
Region7_Region2	NA	migrationCount	150	biased_20	migrationrates	3
Region7_Region3	NA	migrationCount	150	biased_20	migrationrates	3
Region7_Region4	NA	migrationCount	150	biased_20	migrationrates	3
Region7_Region5	NA	migrationCount	150	biased_20	migrationrates	3
Region7_Region6	NA	migrationCount	150	biased_20	migrationrates	3
Region1_Region1	1.5524712930604094	migrationRate	150	biased_20	migrationrates	3
Region1_Region2	0.008986520219670495	migrationRate	150	biased_20	migrationrates	3
Region1_Region3	9.985022466300549e-05	migrationRate	150	biased_20	migrationrates	3
Region1_Region4	9.985022466300549e-05	migrationRate	150	biased_20	migrationrates	3
Region1_Region5	9.985022466300549e-05	migrationRate	150	biased_20	migrationrates	3
Region2_Region1	0.012481278082875686	migrationRate	150	biased_20	migrationrates	3
Region2_Region2	1.163954068896655	migrationRate	150	biased_20	migrationrates	3
Region2_Region3	0.009585621567648528	migrationRate	150	biased_20	migrationrates	3
Region2_Region4	0.007189216175736395	migrationRate	150	biased_20	migrationrates	3
Region2_Region5	0.0048926610084872695	migrationRate	150	biased_20	migrationrates	3
Region2_Region6	0.0014977533699450823	migrationRate	150	biased_20	migrationrates	3
Region2_Region7	9.985022466300549e-05	migrationRate	150	biased_20	migrationrates	3
Region3_Region2	0.009385921118322517	migrationRate	150	biased_20	migrationrates	3
Region3_Region3	2.3398901647528705	migrationRate	150	biased_20	migrationrates	3
Region3_Region4	0.005991013479780329	migrationRate	150	biased_20	migrationrates	3
Region3_Region5	0.0002995506739890165	migrationRate	150	biased_20	migrationrates	3
Region3_Region6	9.985022466300549e-05	migrationRate	150	biased_20	migrationrates	3
Region4_Region1	0.0002995506739890165	migrationRate	150	biased_20	migrationrates	3
Region4_Region2	0.0007988017973040439	migrationRate	150	biased_20	migrationrates	3
Region4_Region3	0.0014977533699450823	migrationRate	150	biased_20	migrationrates	3
Region4_Region4	0.5381927109335995	migrationRate	150	biased_20	migrationrates	3
Region4_Region5	0.00309535696455317	migrationRate	150	biased_20	migrationrates	3
Region4_Region6	9.985022466300549e-05	migrationRate	150	biased_20	migrationrates	3
Region5_Region2	0.0004992511233150275	migrationRate	150	biased_20	migrationrates	3
Region5_Region3	0.0004992511233150275	migrationRate	150	biased_20	migrationrates	3
Region5_Region4	0.002596105841238143	migrationRate	150	biased_20	migrationrates	3
Region5_Region5	0.853919121318023	migrationRate	150	biased_20	migrationrates	3
Region5_Region6	0.0020968547179231155	migrationRate	150	biased_20	migrationrates	3
Region6_Region5	0.000998502246630055	migrationRate	150	biased_20	migrationrates	3
Region6_Region6	0.24253619570644033	migrationRate	150	biased_20	migrationrates	3
Region6_Region7	0.0007988017973040439	migrationRate	150	biased_20	migrationrates	3
Region7_Region7	0.005192211682476286	migrationRate	150	biased_20	migrationrates	3
Region1_Region6	NA	migrationRate	150	biased_20	migrationrates	3
Region1_Region7	NA	migrationRate	150	biased_20	migrationrates	3
Region3_Region1	NA	migrationRate	150	biased_20	migrationrates	3
Region3_Region7	NA	migrationRate	150	biased_20	migrationrates	3
Region4_Region7	NA	migrationRate	150	biased_20	migrationrates	3
Region5_Region1	NA	migrationRate	150	biased_20	migrationrates	3
Region5_Region7	NA	migrationRate	150	biased_20	migrationrates	3
Region6_Region1	NA	migrationRate	150	biased_20	migrationrates	3
Region6_Region2	NA	migrationRate	150	biased_20	migrationrates	3
Region6_Region3	NA	migrationRate	150	biased_20	migrationrates	3
Region6_Region4	NA	migrationRate	150	biased_20	migrationrates	3
Region7_Region1	NA	migrationRate	150	biased_20	migrationrates	3
Region7_Region2	NA	migrationRate	150	biased_20	migrationrates	3
Region7_Region3	NA	migrationRate	150	biased_20	migrationrates	3
Region7_Region4	NA	migrationRate	150	biased_20	migrationrates	3
Region7_Region5	NA	migrationRate	150	biased_20	migrationrates	3
Region7_Region6	NA	migrationRate	150	biased_20	migrationrates	3
Region1	0.2311957996578373	locationFrequency	150	biased_20	migrationrates	3
Region2	0.17482744380862486	locationFrequency	150	biased_20	migrationrates	3
Region3	0.3473393900064893	locationFrequency	150	biased_20	migrationrates	3
Region4	0.08183882956757714	locationFrequency	150	biased_20	migrationrates	3
Region5	0.12751460090850097	locationFrequency	150	biased_20	migrationrates	3
Region6	0.03638428411303168	locationFrequency	150	biased_20	migrationrates	3
Region7	0.0008996519379387646	locationFrequency	150	biased_20	migrationrates	3
NA	1989.090411	mrcaDate	150	biased_20	migrationrates	3
NA	Region1	mrcaLocation	150	biased_20	migrationrates	3
NA	27.41232100000002	treeHeight	150	biased_20	migrationrates	3
Region1_Region1	15548.0	migrationCount	500	biased_20	migrationrates	3
Region1_Region2	90.0	migrationCount	500	biased_20	migrationrates	3
Region1_Region3	1.0	migrationCount	500	biased_20	migrationrates	3
Region1_Region4	1.0	migrationCount	500	biased_20	migrationrates	3
Region1_Region5	1.0	migrationCount	500	biased_20	migrationrates	3
Region2_Region1	125.0	migrationCount	500	biased_20	migrationrates	3
Region2_Region2	11659.0	migrationCount	500	biased_20	migrationrates	3
Region2_Region3	96.0	migrationCount	500	biased_20	migrationrates	3
Region2_Region4	72.0	migrationCount	500	biased_20	migrationrates	3
Region2_Region5	49.0	migrationCount	500	biased_20	migrationrates	3
Region2_Region6	15.0	migrationCount	500	biased_20	migrationrates	3
Region2_Region7	1.0	migrationCount	500	biased_20	migrationrates	3
Region3_Region2	94.0	migrationCount	500	biased_20	migrationrates	3
Region3_Region3	23471.0	migrationCount	500	biased_20	migrationrates	3
Region3_Region4	60.0	migrationCount	500	biased_20	migrationrates	3
Region3_Region5	3.0	migrationCount	500	biased_20	migrationrates	3
Region3_Region6	1.0	migrationCount	500	biased_20	migrationrates	3
Region4_Region1	3.0	migrationCount	500	biased_20	migrationrates	3
Region4_Region2	8.0	migrationCount	500	biased_20	migrationrates	3
Region4_Region3	15.0	migrationCount	500	biased_20	migrationrates	3
Region4_Region4	5390.0	migrationCount	500	biased_20	migrationrates	3
Region4_Region5	31.0	migrationCount	500	biased_20	migrationrates	3
Region4_Region6	1.0	migrationCount	500	biased_20	migrationrates	3
Region5_Region2	5.0	migrationCount	500	biased_20	migrationrates	3
Region5_Region3	5.0	migrationCount	500	biased_20	migrationrates	3
Region5_Region4	26.0	migrationCount	500	biased_20	migrationrates	3
Region5_Region5	8552.0	migrationCount	500	biased_20	migrationrates	3
Region5_Region6	21.0	migrationCount	500	biased_20	migrationrates	3
Region6_Region5	10.0	migrationCount	500	biased_20	migrationrates	3
Region6_Region6	2429.0	migrationCount	500	biased_20	migrationrates	3
Region6_Region7	8.0	migrationCount	500	biased_20	migrationrates	3
Region7_Region7	52.0	migrationCount	500	biased_20	migrationrates	3
Region1_Region6	NA	migrationCount	500	biased_20	migrationrates	3
Region1_Region7	NA	migrationCount	500	biased_20	migrationrates	3
Region3_Region1	NA	migrationCount	500	biased_20	migrationrates	3
Region3_Region7	NA	migrationCount	500	biased_20	migrationrates	3
Region4_Region7	NA	migrationCount	500	biased_20	migrationrates	3
Region5_Region1	NA	migrationCount	500	biased_20	migrationrates	3
Region5_Region7	NA	migrationCount	500	biased_20	migrationrates	3
Region6_Region1	NA	migrationCount	500	biased_20	migrationrates	3
Region6_Region2	NA	migrationCount	500	biased_20	migrationrates	3
Region6_Region3	NA	migrationCount	500	biased_20	migrationrates	3
Region6_Region4	NA	migrationCount	500	biased_20	migrationrates	3
Region7_Region1	NA	migrationCount	500	biased_20	migrationrates	3
Region7_Region2	NA	migrationCount	500	biased_20	migrationrates	3
Region7_Region3	NA	migrationCount	500	biased_20	migrationrates	3
Region7_Region4	NA	migrationCount	500	biased_20	migrationrates	3
Region7_Region5	NA	migrationCount	500	biased_20	migrationrates	3
Region7_Region6	NA	migrationCount	500	biased_20	migrationrates	3
Region1_Region1	1.5446056030200677	migrationRate	500	biased_20	migrationrates	3
Region1_Region2	0.008940989469501292	migrationRate	500	biased_20	migrationrates	3
Region1_Region3	9.934432743890324e-05	migrationRate	500	biased_20	migrationrates	3
Region1_Region4	9.934432743890324e-05	migrationRate	500	biased_20	migrationrates	3
Region1_Region5	9.934432743890324e-05	migrationRate	500	biased_20	migrationrates	3
Region2_Region1	0.012418040929862905	migrationRate	500	biased_20	migrationrates	3
Region2_Region2	1.1582555136101729	migrationRate	500	biased_20	migrationrates	3
Region2_Region3	0.009537055434134712	migrationRate	500	biased_20	migrationrates	3
Region2_Region4	0.007152791575601033	migrationRate	500	biased_20	migrationrates	3
Region2_Region5	0.004867872044506259	migrationRate	500	biased_20	migrationrates	3
Region2_Region6	0.0014901649115835486	migrationRate	500	biased_20	migrationrates	3
Region2_Region7	9.934432743890324e-05	migrationRate	500	biased_20	migrationrates	3
Region3_Region2	0.009338366779256905	migrationRate	500	biased_20	migrationrates	3
Region3_Region3	2.331710709318498	migrationRate	500	biased_20	migrationrates	3
Region3_Region4	0.005960659646334195	migrationRate	500	biased_20	migrationrates	3
Region3_Region5	0.00029803298231670974	migrationRate	500	biased_20	migrationrates	3
Region3_Region6	9.934432743890324e-05	migrationRate	500	biased_20	migrationrates	3
Region4_Region1	0.00029803298231670974	migrationRate	500	biased_20	migrationrates	3
Region4_Region2	0.0007947546195112259	migrationRate	500	biased_20	migrationrates	3
Region4_Region3	0.0014901649115835486	migrationRate	500	biased_20	migrationrates	3
Region4_Region4	0.5354659248956884	migrationRate	500	biased_20	migrationrates	3
Region4_Region5	0.0030796741506060005	migrationRate	500	biased_20	migrationrates	3
Region4_Region6	9.934432743890324e-05	migrationRate	500	biased_20	migrationrates	3
Region5_Region2	0.0004967216371945162	migrationRate	500	biased_20	migrationrates	3
Region5_Region3	0.0004967216371945162	migrationRate	500	biased_20	migrationrates	3
Region5_Region4	0.0025829525134114842	migrationRate	500	biased_20	migrationrates	3
Region5_Region5	0.8495926882575005	migrationRate	500	biased_20	migrationrates	3
Region5_Region6	0.002086230876216968	migrationRate	500	biased_20	migrationrates	3
Region6_Region5	0.0009934432743890324	migrationRate	500	biased_20	migrationrates	3
Region6_Region6	0.24130737134909597	migrationRate	500	biased_20	migrationrates	3
Region6_Region7	0.0007947546195112259	migrationRate	500	biased_20	migrationrates	3
Region7_Region7	0.0051659050268229685	migrationRate	500	biased_20	migrationrates	3
Region1_Region6	NA	migrationRate	500	biased_20	migrationrates	3
Region1_Region7	NA	migrationRate	500	biased_20	migrationrates	3
Region3_Region1	NA	migrationRate	500	biased_20	migrationrates	3
Region3_Region7	NA	migrationRate	500	biased_20	migrationrates	3
Region4_Region7	NA	migrationRate	500	biased_20	migrationrates	3
Region5_Region1	NA	migrationRate	500	biased_20	migrationrates	3
Region5_Region7	NA	migrationRate	500	biased_20	migrationrates	3
Region6_Region1	NA	migrationRate	500	biased_20	migrationrates	3
Region6_Region2	NA	migrationRate	500	biased_20	migrationrates	3
Region6_Region3	NA	migrationRate	500	biased_20	migrationrates	3
Region6_Region4	NA	migrationRate	500	biased_20	migrationrates	3
Region7_Region1	NA	migrationRate	500	biased_20	migrationrates	3
Region7_Region2	NA	migrationRate	500	biased_20	migrationrates	3
Region7_Region3	NA	migrationRate	500	biased_20	migrationrates	3
Region7_Region4	NA	migrationRate	500	biased_20	migrationrates	3
Region7_Region5	NA	migrationRate	500	biased_20	migrationrates	3
Region7_Region6	NA	migrationRate	500	biased_20	migrationrates	3
Region1	0.23106289521394985	locationFrequency	500	biased_20	migrationrates	3
Region2	0.17475642291761861	locationFrequency	500	biased_20	migrationrates	3
Region3	0.34768509647273854	locationFrequency	500	biased_20	migrationrates	3
Region4	0.08179178397181729	locationFrequency	500	biased_20	migrationrates	3
Region5	0.12744129829164394	locationFrequency	500	biased_20	migrationrates	3
Region6	0.036363368365196116	locationFrequency	500	biased_20	migrationrates	3
Region7	0.0008991347670356558	locationFrequency	500	biased_20	migrationrates	3
NA	1989.090411	mrcaDate	500	biased_20	migrationrates	3
NA	Region1	mrcaLocation	500	biased_20	migrationrates	3
NA	27.55166600000007	treeHeight	500	biased_20	migrationrates	3
Region1_Region1	15548.0	migrationCount	150	biased_50	migrationrates	3
Region1_Region2	90.0	migrationCount	150	biased_50	migrationrates	3
Region1_Region3	1.0	migrationCount	150	biased_50	migrationrates	3
Region1_Region4	1.0	migrationCount	150	biased_50	migrationrates	3
Region1_Region5	1.0	migrationCount	150	biased_50	migrationrates	3
Region2_Region1	125.0	migrationCount	150	biased_50	migrationrates	3
Region2_Region2	11657.0	migrationCount	150	biased_50	migrationrates	3
Region2_Region3	96.0	migrationCount	150	biased_50	migrationrates	3
Region2_Region4	72.0	migrationCount	150	biased_50	migrationrates	3
Region2_Region5	49.0	migrationCount	150	biased_50	migrationrates	3
Region2_Region6	15.0	migrationCount	150	biased_50	migrationrates	3
Region2_Region7	1.0	migrationCount	150	biased_50	migrationrates	3
Region3_Region2	92.0	migrationCount	150	biased_50	migrationrates	3
Region3_Region3	23417.0	migrationCount	150	biased_50	migrationrates	3
Region3_Region4	60.0	migrationCount	150	biased_50	migrationrates	3
Region3_Region5	3.0	migrationCount	150	biased_50	migrationrates	3
Region3_Region6	1.0	migrationCount	150	biased_50	migrationrates	3
Region4_Region1	3.0	migrationCount	150	biased_50	migrationrates	3
Region4_Region2	8.0	migrationCount	150	biased_50	migrationrates	3
Region4_Region3	15.0	migrationCount	150	biased_50	migrationrates	3
Region4_Region4	5390.0	migrationCount	150	biased_50	migrationrates	3
Region4_Region5	31.0	migrationCount	150	biased_50	migrationrates	3
Region4_Region6	1.0	migrationCount	150	biased_50	migrationrates	3
Region5_Region2	5.0	migrationCount	150	biased_50	migrationrates	3
Region5_Region3	5.0	migrationCount	150	biased_50	migrationrates	3
Region5_Region4	26.0	migrationCount	150	biased_50	migrationrates	3
Region5_Region5	8552.0	migrationCount	150	biased_50	migrationrates	3
Region5_Region6	21.0	migrationCount	150	biased_50	migrationrates	3
Region6_Region5	10.0	migrationCount	150	biased_50	migrationrates	3
Region6_Region6	2429.0	migrationCount	150	biased_50	migrationrates	3
Region6_Region7	8.0	migrationCount	150	biased_50	migrationrates	3
Region7_Region7	52.0	migrationCount	150	biased_50	migrationrates	3
Region1_Region6	NA	migrationCount	150	biased_50	migrationrates	3
Region1_Region7	NA	migrationCount	150	biased_50	migrationrates	3
Region3_Region1	NA	migrationCount	150	biased_50	migrationrates	3
Region3_Region7	NA	migrationCount	150	biased_50	migrationrates	3
Region4_Region7	NA	migrationCount	150	biased_50	migrationrates	3
Region5_Region1	NA	migrationCount	150	biased_50	migrationrates	3
Region5_Region7	NA	migrationCount	150	biased_50	migrationrates	3
Region6_Region1	NA	migrationCount	150	biased_50	migrationrates	3
Region6_Region2	NA	migrationCount	150	biased_50	migrationrates	3
Region6_Region3	NA	migrationCount	150	biased_50	migrationrates	3
Region6_Region4	NA	migrationCount	150	biased_50	migrationrates	3
Region7_Region1	NA	migrationCount	150	biased_50	migrationrates	3
Region7_Region2	NA	migrationCount	150	biased_50	migrationrates	3
Region7_Region3	NA	migrationCount	150	biased_50	migrationrates	3
Region7_Region4	NA	migrationCount	150	biased_50	migrationrates	3
Region7_Region5	NA	migrationCount	150	biased_50	migrationrates	3
Region7_Region6	NA	migrationCount	150	biased_50	migrationrates	3
Region1_Region1	1.5557334400640384	migrationRate	150	biased_50	migrationrates	3
Region1_Region2	0.009005403241945167	migrationRate	150	biased_50	migrationrates	3
Region1_Region3	0.00010006003602161297	migrationRate	150	biased_50	migrationrates	3
Region1_Region4	0.00010006003602161297	migrationRate	150	biased_50	migrationrates	3
Region1_Region5	0.00010006003602161297	migrationRate	150	biased_50	migrationrates	3
Region2_Region1	0.01250750450270162	migrationRate	150	biased_50	migrationrates	3
Region2_Region2	1.1663998399039424	migrationRate	150	biased_50	migrationrates	3
Region2_Region3	0.009605763458074845	migrationRate	150	biased_50	migrationrates	3
Region2_Region4	0.007204322593556134	migrationRate	150	biased_50	migrationrates	3
Region2_Region5	0.004902941765059035	migrationRate	150	biased_50	migrationrates	3
Region2_Region6	0.0015009005403241946	migrationRate	150	biased_50	migrationrates	3
Region2_Region7	0.00010006003602161297	migrationRate	150	biased_50	migrationrates	3
Region3_Region2	0.009205523313988393	migrationRate	150	biased_50	migrationrates	3
Region3_Region3	2.343105863518111	migrationRate	150	biased_50	migrationrates	3
Region3_Region4	0.006003602161296778	migrationRate	150	biased_50	migrationrates	3
Region3_Region5	0.0003001801080648389	migrationRate	150	biased_50	migrationrates	3
Region3_Region6	0.00010006003602161297	migrationRate	150	biased_50	migrationrates	3
Region4_Region1	0.0003001801080648389	migrationRate	150	biased_50	migrationrates	3
Region4_Region2	0.0008004802881729037	migrationRate	150	biased_50	migrationrates	3
Region4_Region3	0.0015009005403241946	migrationRate	150	biased_50	migrationrates	3
Region4_Region4	0.5393235941564939	migrationRate	150	biased_50	migrationrates	3
Region4_Region5	0.003101861116670002	migrationRate	150	biased_50	migrationrates	3
Region4_Region6	0.00010006003602161297	migrationRate	150	biased_50	migrationrates	3
Region5_Region2	0.0005003001801080648	migrationRate	150	biased_50	migrationrates	3
Region5_Region3	0.0005003001801080648	migrationRate	150	biased_50	migrationrates	3
Region5_Region4	0.002601560936561937	migrationRate	150	biased_50	migrationrates	3
Region5_Region5	0.8557134280568341	migrationRate	150	biased_50	migrationrates	3
Region5_Region6	0.0021012607564538724	migrationRate	150	biased_50	migrationrates	3
Region6_Region5	0.0010006003602161296	migrationRate	150	biased_50	migrationrates	3
Region6_Region6	0.2430458274964979	migrationRate	150	biased_50	migrationrates	3
Region6_Region7	0.0008004802881729037	migrationRate	150	biased_50	migrationrates	3
Region7_Region7	0.005203121873123874	migrationRate	150	biased_50	migrationrates	3
Region1_Region6	NA	migrationRate	150	biased_50	migrationrates	3
Region1_Region7	NA	migrationRate	150	biased_50	migrationrates	3
Region3_Region1	NA	migrationRate	150	biased_50	migrationrates	3
Region3_Region7	NA	migrationRate	150	biased_50	migrationrates	3
Region4_Region7	NA	migrationRate	150	biased_50	migrationrates	3
Region5_Region1	NA	migrationRate	150	biased_50	migrationrates	3
Region5_Region7	NA	migrationRate	150	biased_50	migrationrates	3
Region6_Region1	NA	migrationRate	150	biased_50	migrationrates	3
Region6_Region2	NA	migrationRate	150	biased_50	migrationrates	3
Region6_Region3	NA	migrationRate	150	biased_50	migrationrates	3
Region6_Region4	NA	migrationRate	150	biased_50	migrationrates	3
Region7_Region1	NA	migrationRate	150	biased_50	migrationrates	3
Region7_Region2	NA	migrationRate	150	biased_50	migrationrates	3
Region7_Region3	NA	migrationRate	150	biased_50	migrationrates	3
Region7_Region4	NA	migrationRate	150	biased_50	migrationrates	3
Region7_Region5	NA	migrationRate	150	biased_50	migrationrates	3
Region7_Region6	NA	migrationRate	150	biased_50	migrationrates	3
Region1	0.23126060337832854	locationFrequency	150	biased_50	migrationrates	3
Region2	0.17484694253890978	locationFrequency	150	biased_50	migrationrates	3
Region3	0.3471859555948956	locationFrequency	150	biased_50	migrationrates	3
Region4	0.08186176882791178	locationFrequency	150	biased_50	migrationrates	3
Region5	0.1275503429962381	locationFrequency	150	biased_50	migrationrates	3
Region6	0.03639448255513757	locationFrequency	150	biased_50	migrationrates	3
Region7	0.0008999041085785941	locationFrequency	150	biased_50	migrationrates	3
NA	1989.090411	mrcaDate	150	biased_50	migrationrates	3
NA	Region1	mrcaLocation	150	biased_50	migrationrates	3
NA	27.35494400000016	treeHeight	150	biased_50	migrationrates	3
Region1_Region1	15548.0	migrationCount	500	biased_50	migrationrates	3
Region1_Region2	90.0	migrationCount	500	biased_50	migrationrates	3
Region1_Region3	1.0	migrationCount	500	biased_50	migrationrates	3
Region1_Region4	1.0	migrationCount	500	biased_50	migrationrates	3
Region1_Region5	1.0	migrationCount	500	biased_50	migrationrates	3
Region2_Region1	125.0	migrationCount	500	biased_50	migrationrates	3
Region2_Region2	11659.0	migrationCount	500	biased_50	migrationrates	3
Region2_Region3	96.0	migrationCount	500	biased_50	migrationrates	3
Region2_Region4	72.0	migrationCount	500	biased_50	migrationrates	3
Region2_Region5	49.0	migrationCount	500	biased_50	migrationrates	3
Region2_Region6	15.0	migrationCount	500	biased_50	migrationrates	3
Region2_Region7	1.0	migrationCount	500	biased_50	migrationrates	3
Region3_Region2	94.0	migrationCount	500	biased_50	migrationrates	3
Region3_Region3	23479.0	migrationCount	500	biased_50	migrationrates	3
Region3_Region4	60.0	migrationCount	500	biased_50	migrationrates	3
Region3_Region5	3.0	migrationCount	500	biased_50	migrationrates	3
Region3_Region6	1.0	migrationCount	500	biased_50	migrationrates	3
Region4_Region1	3.0	migrationCount	500	biased_50	migrationrates	3
Region4_Region2	8.0	migrationCount	500	biased_50	migrationrates	3
Region4_Region3	15.0	migrationCount	500	biased_50	migrationrates	3
Region4_Region4	5390.0	migrationCount	500	biased_50	migrationrates	3
Region4_Region5	31.0	migrationCount	500	biased_50	migrationrates	3
Region4_Region6	1.0	migrationCount	500	biased_50	migrationrates	3
Region5_Region2	5.0	migrationCount	500	biased_50	migrationrates	3
Region5_Region3	5.0	migrationCount	500	biased_50	migrationrates	3
Region5_Region4	26.0	migrationCount	500	biased_50	migrationrates	3
Region5_Region5	8552.0	migrationCount	500	biased_50	migrationrates	3
Region5_Region6	21.0	migrationCount	500	biased_50	migrationrates	3
Region6_Region5	10.0	migrationCount	500	biased_50	migrationrates	3
Region6_Region6	2429.0	migrationCount	500	biased_50	migrationrates	3
Region6_Region7	8.0	migrationCount	500	biased_50	migrationrates	3
Region7_Region7	52.0	migrationCount	500	biased_50	migrationrates	3
Region1_Region6	NA	migrationCount	500	biased_50	migrationrates	3
Region1_Region7	NA	migrationCount	500	biased_50	migrationrates	3
Region3_Region1	NA	migrationCount	500	biased_50	migrationrates	3
Region3_Region7	NA	migrationCount	500	biased_50	migrationrates	3
Region4_Region7	NA	migrationCount	500	biased_50	migrationrates	3
Region5_Region1	NA	migrationCount	500	biased_50	migrationrates	3
Region5_Region7	NA	migrationCount	500	biased_50	migrationrates	3
Region6_Region1	NA	migrationCount	500	biased_50	migrationrates	3
Region6_Region2	NA	migrationCount	500	biased_50	migrationrates	3
Region6_Region3	NA	migrationCount	500	biased_50	migrationrates	3
Region6_Region4	NA	migrationCount	500	biased_50	migrationrates	3
Region7_Region1	NA	migrationCount	500	biased_50	migrationrates	3
Region7_Region2	NA	migrationCount	500	biased_50	migrationrates	3
Region7_Region3	NA	migrationCount	500	biased_50	migrationrates	3
Region7_Region4	NA	migrationCount	500	biased_50	migrationrates	3
Region7_Region5	NA	migrationCount	500	biased_50	migrationrates	3
Region7_Region6	NA	migrationCount	500	biased_50	migrationrates	3
Region1_Region1	1.54337899543379	migrationRate	500	biased_50	migrationrates	3
Region1_Region2	0.008933889219773675	migrationRate	500	biased_50	migrationrates	3
Region1_Region3	9.926543577526305e-05	migrationRate	500	biased_50	migrationrates	3
Region1_Region4	9.926543577526305e-05	migrationRate	500	biased_50	migrationrates	3
Region1_Region5	9.926543577526305e-05	migrationRate	500	biased_50	migrationrates	3
Region2_Region1	0.012408179471907881	migrationRate	500	biased_50	migrationrates	3
Region2_Region2	1.157335715703792	migrationRate	500	biased_50	migrationrates	3
Region2_Region3	0.009529481834425254	migrationRate	500	biased_50	migrationrates	3
Region2_Region4	0.00714711137581894	migrationRate	500	biased_50	migrationrates	3
Region2_Region5	0.0048640063529878895	migrationRate	500	biased_50	migrationrates	3
Region2_Region6	0.0014889815366289458	migrationRate	500	biased_50	migrationrates	3
Region2_Region7	9.926543577526305e-05	migrationRate	500	biased_50	migrationrates	3
Region3_Region2	0.009330950962874727	migrationRate	500	biased_50	migrationrates	3
Region3_Region3	2.330653166567401	migrationRate	500	biased_50	migrationrates	3
Region3_Region4	0.005955926146515783	migrationRate	500	biased_50	migrationrates	3
Region3_Region5	0.0002977963073257892	migrationRate	500	biased_50	migrationrates	3
Region3_Region6	9.926543577526305e-05	migrationRate	500	biased_50	migrationrates	3
Region4_Region1	0.0002977963073257892	migrationRate	500	biased_50	migrationrates	3
Region4_Region2	0.0007941234862021044	migrationRate	500	biased_50	migrationrates	3
Region4_Region3	0.0014889815366289458	migrationRate	500	biased_50	migrationrates	3
Region4_Region4	0.5350406988286679	migrationRate	500	biased_50	migrationrates	3
Region4_Region5	0.0030772285090331546	migrationRate	500	biased_50	migrationrates	3
Region4_Region6	9.926543577526305e-05	migrationRate	500	biased_50	migrationrates	3
Region5_Region2	0.0004963271788763153	migrationRate	500	biased_50	migrationrates	3
Region5_Region3	0.0004963271788763153	migrationRate	500	biased_50	migrationrates	3
Region5_Region4	0.0025809013301568394	migrationRate	500	biased_50	migrationrates	3
Region5_Region5	0.8489180067500496	migrationRate	500	biased_50	migrationrates	3
Region5_Region6	0.002084574151280524	migrationRate	500	biased_50	migrationrates	3
Region6_Region5	0.0009926543577526306	migrationRate	500	biased_50	migrationrates	3
Region6_Region6	0.24111574349811396	migrationRate	500	biased_50	migrationrates	3
Region6_Region7	0.0007941234862021044	migrationRate	500	biased_50	migrationrates	3
Region7_Region7	0.005161802660313679	migrationRate	500	biased_50	migrationrates	3
Region1_Region6	NA	migrationRate	500	biased_50	migrationrates	3
Region1_Region7	NA	migrationRate	500	biased_50	migrationrates	3
Region3_Region1	NA	migrationRate	500	biased_50	migrationrates	3
Region3_Region7	NA	migrationRate	500	biased_50	migrationrates	3
