parameterChar	value	parameter	nSeq	protocol	matrix	nSim
Region7_Region1	NA	migrationCount	500	uniformS	migrationrates	1
Region7_Region2	NA	migrationCount	500	uniformS	migrationrates	1
Region7_Region3	NA	migrationCount	500	uniformS	migrationrates	1
Region7_Region4	NA	migrationCount	500	uniformS	migrationrates	1
Region7_Region5	NA	migrationCount	500	uniformS	migrationrates	1
Region7_Region6	NA	migrationCount	500	uniformS	migrationrates	1
Region1_Region1	1.4699795451810853	migrationRate	500	uniformS	migrationrates	1
Region1_Region2	0.008422572494284682	migrationRate	500	uniformS	migrationrates	1
Region1_Region4	0.0001203224642040669	migrationRate	500	uniformS	migrationrates	1
Region1_Region5	0.0001203224642040669	migrationRate	500	uniformS	migrationrates	1
Region1_Region6	0.0001203224642040669	migrationRate	500	uniformS	migrationrates	1
Region2_Region1	0.016845144988569365	migrationRate	500	uniformS	migrationrates	1
Region2_Region2	1.1051618337143545	migrationRate	500	uniformS	migrationrates	1
Region2_Region3	0.010347731921549754	migrationRate	500	uniformS	migrationrates	1
Region2_Region4	0.009625797136325352	migrationRate	500	uniformS	migrationrates	1
Region2_Region5	0.0040909637829382745	migrationRate	500	uniformS	migrationrates	1
Region2_Region6	0.0008422572494284683	migrationRate	500	uniformS	migrationrates	1
Region3_Region2	0.009385152207917219	migrationRate	500	uniformS	migrationrates	1
Region3_Region3	2.5530020454818914	migrationRate	500	uniformS	migrationrates	1
Region3_Region4	0.007820960173264349	migrationRate	500	uniformS	migrationrates	1
Region4_Region2	0.0008422572494284683	migrationRate	500	uniformS	migrationrates	1
Region4_Region3	0.0019251594272650704	migrationRate	500	uniformS	migrationrates	1
Region4_Region4	1.0714715437372158	migrationRate	500	uniformS	migrationrates	1
Region4_Region5	0.005775478281795211	migrationRate	500	uniformS	migrationrates	1
Region4_Region6	0.0001203224642040669	migrationRate	500	uniformS	migrationrates	1
Region5_Region1	0.0001203224642040669	migrationRate	500	uniformS	migrationrates	1
Region5_Region2	0.0015641920346528696	migrationRate	500	uniformS	migrationrates	1
Region5_Region3	0.0007219347852244014	migrationRate	500	uniformS	migrationrates	1
Region5_Region4	0.00890386235110095	migrationRate	500	uniformS	migrationrates	1
Region5_Region5	2.267958127782457	migrationRate	500	uniformS	migrationrates	1
Region5_Region6	0.0052941884249789435	migrationRate	500	uniformS	migrationrates	1
Region6_Region4	0.0002406449284081338	migrationRate	500	uniformS	migrationrates	1
Region6_Region5	0.0015641920346528696	migrationRate	500	uniformS	migrationrates	1
Region6_Region6	0.30634099386355435	migrationRate	500	uniformS	migrationrates	1
Region6_Region7	0.0003609673926122007	migrationRate	500	uniformS	migrationrates	1
Region7_Region7	0.0001203224642040669	migrationRate	500	uniformS	migrationrates	1
Region1_Region3	NA	migrationRate	500	uniformS	migrationrates	1
Region1_Region7	NA	migrationRate	500	uniformS	migrationrates	1
Region2_Region7	NA	migrationRate	500	uniformS	migrationrates	1
Region3_Region1	NA	migrationRate	500	uniformS	migrationrates	1
Region3_Region5	NA	migrationRate	500	uniformS	migrationrates	1
Region3_Region6	NA	migrationRate	500	uniformS	migrationrates	1
Region3_Region7	NA	migrationRate	500	uniformS	migrationrates	1
Region4_Region1	NA	migrationRate	500	uniformS	migrationrates	1
Region4_Region7	NA	migrationRate	500	uniformS	migrationrates	1
Region5_Region7	NA	migrationRate	500	uniformS	migrationrates	1
Region6_Region1	NA	migrationRate	500	uniformS	migrationrates	1
Region6_Region2	NA	migrationRate	500	uniformS	migrationrates	1
Region6_Region3	NA	migrationRate	500	uniformS	migrationrates	1
Region7_Region1	NA	migrationRate	500	uniformS	migrationrates	1
Region7_Region2	NA	migrationRate	500	uniformS	migrationrates	1
Region7_Region3	NA	migrationRate	500	uniformS	migrationrates	1
Region7_Region4	NA	migrationRate	500	uniformS	migrationrates	1
Region7_Region5	NA	migrationRate	500	uniformS	migrationrates	1
Region7_Region6	NA	migrationRate	500	uniformS	migrationrates	1
Region1	0.1676524853483829	locationFrequency	500	uniformS	migrationrates	1
Region2	0.12688571738658563	locationFrequency	500	uniformS	migrationrates	1
Region3	0.2893151725634903	locationFrequency	500	uniformS	migrationrates	1
Region4	0.12381973084436727	locationFrequency	500	uniformS	migrationrates	1
Region5	0.25701378337312786	locationFrequency	500	uniformS	migrationrates	1
Region6	0.03525884523551118	locationFrequency	500	uniformS	migrationrates	1
Region7	5.426524853483829e-05	locationFrequency	500	uniformS	migrationrates	1
NA	1989.468493	mrcaDate	500	uniformS	migrationrates	1
NA	Region1	mrcaLocation	500	uniformS	migrationrates	1
NA	22.74735399999986	treeHeight	500	uniformS	migrationrates	1
Region1_Region1	12215.0	migrationCount	150	maxPerRegion	migrationrates	1
Region1_Region2	70.0	migrationCount	150	maxPerRegion	migrationrates	1
Region1_Region4	1.0	migrationCount	150	maxPerRegion	migrationrates	1
Region1_Region5	1.0	migrationCount	150	maxPerRegion	migrationrates	1
Region1_Region6	1.0	migrationCount	150	maxPerRegion	migrationrates	1
Region2_Region1	140.0	migrationCount	150	maxPerRegion	migrationrates	1
Region2_Region2	9185.0	migrationCount	150	maxPerRegion	migrationrates	1
Region2_Region3	86.0	migrationCount	150	maxPerRegion	migrationrates	1
Region2_Region4	80.0	migrationCount	150	maxPerRegion	migrationrates	1
Region2_Region5	34.0	migrationCount	150	maxPerRegion	migrationrates	1
Region2_Region6	7.0	migrationCount	150	maxPerRegion	migrationrates	1
Region3_Region2	78.0	migrationCount	150	maxPerRegion	migrationrates	1
Region3_Region3	21218.0	migrationCount	150	maxPerRegion	migrationrates	1
Region3_Region4	65.0	migrationCount	150	maxPerRegion	migrationrates	1
Region4_Region2	7.0	migrationCount	150	maxPerRegion	migrationrates	1
Region4_Region3	16.0	migrationCount	150	maxPerRegion	migrationrates	1
Region4_Region4	8812.0	migrationCount	150	maxPerRegion	migrationrates	1
Region4_Region5	48.0	migrationCount	150	maxPerRegion	migrationrates	1
Region4_Region6	1.0	migrationCount	150	maxPerRegion	migrationrates	1
Region5_Region1	1.0	migrationCount	150	maxPerRegion	migrationrates	1
Region5_Region2	13.0	migrationCount	150	maxPerRegion	migrationrates	1
Region5_Region3	6.0	migrationCount	150	maxPerRegion	migrationrates	1
Region5_Region4	74.0	migrationCount	150	maxPerRegion	migrationrates	1
Region5_Region5	18839.0	migrationCount	150	maxPerRegion	migrationrates	1
Region5_Region6	44.0	migrationCount	150	maxPerRegion	migrationrates	1
Region6_Region4	2.0	migrationCount	150	maxPerRegion	migrationrates	1
Region6_Region5	13.0	migrationCount	150	maxPerRegion	migrationrates	1
Region6_Region6	2546.0	migrationCount	150	maxPerRegion	migrationrates	1
Region6_Region7	3.0	migrationCount	150	maxPerRegion	migrationrates	1
Region7_Region7	1.0	migrationCount	150	maxPerRegion	migrationrates	1
Region1_Region3	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region1_Region7	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region2_Region7	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region3_Region1	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region3_Region5	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region3_Region6	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region3_Region7	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region4_Region1	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region4_Region7	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region5_Region7	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region6_Region1	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region6_Region2	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region6_Region3	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region7_Region1	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region7_Region2	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region7_Region3	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region7_Region4	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region7_Region5	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region7_Region6	NA	migrationCount	150	maxPerRegion	migrationrates	1
Region1_Region1	1.4947381302006852	migrationRate	150	maxPerRegion	migrationrates	1
