Sample	posterior	likelihood	prior	treeLikelihood.sim1_maxPerRegion_500	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
34792000	-33980.94748556105	-32379.231622413045	-1601.7158631480086	-32379.231622413045	-1584.4795170342936	30.871069878351836	1	1	1	1	0	1	2.544246	2.544246	2.544246	0.222094	0.072466	0.433292	0.056363	0.0	0.042658	5	2.2957876513169246E-4	2.133742733402919	0.28556789502450974	0.2208025446888864	0.2276914296356673	0.2659381306509348
34796000	-33974.35457703833	-32361.30631820988	-1613.0482588284444	-32361.30631820988	-1594.3898099609385	30.864590599709167	1	1	1	1	0	1	2.736548	2.736548	2.736548	0.078773	0.051225	0.321970	0.051122	0.0	0.084463	5	2.2990763223394424E-4	1.9909784735077152	0.27946848570087934	0.2208025446888864	0.23379083895929767	0.2659381306509348
34800000	-33956.94458468994	-32351.639403449193	-1605.3051812407434	-32351.639403449193	-1586.6314251910248	30.868658053411636	1	1	1	1	1	1	2.592585	2.592585	2.592585	0.141508	0.120620	0.253618	0.085482	0.053440	0.030207	6	2.24865584415244E-4	1.9909784735077152	0.27946848570087934	0.2208025446888864	0.23379083895929767	0.2659381306509348
34804000	-33949.506291959195	-32356.191913762923	-1593.3143781962685	-32356.191913762923	-1574.439301920793	30.52960111997933	1	1	1	1	1	1	2.542026	2.542026	2.542026	0.226463	0.046760	0.347017	0.052477	0.006225	0.045699	6	2.3877444043697872E-4	2.1263470405786755	0.27946848570087934	0.2208025446888864	0.23379083895929767	0.2659381306509348
34808000	-33945.231353295145	-32360.07879221591	-1585.1525610792364	-32360.07879221591	-1562.4634354246425	30.529857078457095	1	1	1	1	1	1	2.460510	2.460510	2.460510	0.202506	0.012552	0.198769	0.027649	0.015714	0.023579	6	2.4440550152027567E-4	2.1192458962551712	0.27946848570087934	0.2208025446888864	0.23379083895929767	0.2659381306509348
34812000	-33948.73779527699	-32365.870561491854	-1582.8672337851385	-32365.870561491854	-1561.912175514274	30.527180563280933	1	1	1	1	1	1	2.471399	2.471399	2.471399	0.135683	0.050052	0.166141	0.047344	0.080113	0.020017	6	2.3787554904266167E-4	2.1192458962551712	0.27946848570087934	0.2208025446888864	0.23379083895929767	0.2659381306509348
34816000	-33949.528436575776	-32362.976843060238	-1586.551593515535	-32362.976843060238	-1563.8325800843036	30.527527105756686	1	1	1	1	1	1	2.546308	2.546308	2.546308	0.149668	0.089164	0.183123	0.006207	0.058434	0.049292	6	2.3612785794458873E-4	2.173906971027309	0.27946848570087934	0.2238774301899248	0.23379083895929767	0.26286324514989645
34820000	-33931.83289899478	-32361.986408154487	-1569.8464908402857	-32361.986408154487	-1551.3598389933281	30.236272020325355	1	1	1	1	1	1	2.374474	2.374474	2.374474	0.168177	0.096955	0.183497	0.035121	0.031611	0.060934	6	2.4652907938438475E-4	1.9033822418994404	0.27946848570087934	0.2238774301899248	0.23379083895929767	0.26286324514989645
34824000	-33939.175481560786	-32367.496214070467	-1571.6792674903159	-32367.496214070467	-1552.6922504628405	29.955601612853236	1	1	1	1	1	1	2.428804	2.428804	2.428804	0.129246	0.041652	0.234191	0.132642	0.011595	0.021753	6	2.3389066764626837E-4	2.3383002081634268	0.2799727930185288	0.22163803843490792	0.23552592339666512	0.26286324514989645
34828000	-33937.750346976885	-32362.34807434954	-1575.40227262735	-32362.34807434954	-1556.2003692177132	29.94739295999693	1	1	1	1	1	1	2.534526	2.534526	2.534526	0.167110	0.094003	0.244866	0.091072	0.071371	0.023987	6	2.3995771516699936E-4	1.8295106635181075	0.2799727930185288	0.22163803843490792	0.23552592339666512	0.26286324514989645
