Sample	posterior	likelihood	prior	treeLikelihood.sim1_biased_20_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
5976000	-24676.462294277	-24154.38816302742	-522.0741312495802	-24154.38816302742	-501.5602834536782	29.589768502022505	1	1	1	0	0	1	2.549091	2.549091	2.549091	4.525295	0.442049	1.019276	0.0	0.0	0.241110	4	2.3329234111560493E-4	1.9750383087832857	0.2863795792486456	0.22388013531554762	0.2290268629548618	0.26071342248094476
5978000	-24661.01425610238	-24145.15316934168	-515.8610867606974	-24145.15316934168	-497.4106272422853	29.594089251270134	1	1	1	1	1	0	2.763281	2.763281	2.763281	0.405808	0.311445	0.096224	0.069365	0.424805	0.0	5	2.498325577998034E-4	1.9750383087832857	0.2863795792486456	0.22388013531554762	0.2290268629548618	0.26071342248094476
5980000	-24664.956326024047	-24156.70379472024	-508.25253130380725	-24156.70379472024	-490.52520832596144	29.265188309441605	1	1	1	0	1	1	2.705592	2.705592	2.705592	0.599581	0.206293	0.389267	0.0	0.186059	0.006599	5	2.2987089613180748E-4	1.9750383087832857	0.2863795792486456	0.22388013531554762	0.2290268629548618	0.26071342248094476
5982000	-24657.917826248824	-24157.209082204365	-500.708744044461	-24157.209082204365	-483.4202502543434	29.271027527967725	1	1	1	1	1	0	2.449474	2.449474	2.449474	2.379960	0.381810	0.505741	0.042133	0.027982	0.0	5	2.487960419890603E-4	1.9750383087832857	0.2863795792486456	0.22388013531554762	0.2290268629548618	0.26071342248094476
5984000	-24658.990748941083	-24159.93423815524	-499.05651078584276	-24159.93423815524	-482.0569607645111	29.26606552411068	1	1	1	0	1	1	2.197507	2.197507	2.197507	0.914442	0.408626	0.568275	0.0	0.030727	0.049722	5	2.4846043588073384E-4	1.9709130695569121	0.2863795792486456	0.22388013531554762	0.2290268629548618	0.26071342248094476
5986000	-24670.277187686523	-24161.23469783125	-509.04248985527477	-24161.23469783125	-488.33728804101554	29.280048254745083	1	1	1	0	1	1	2.758586	2.758586	2.758586	1.363929	0.419210	0.358812	0.0	0.008868	0.132554	5	2.45220147956391E-4	1.9709130695569121	0.2863795792486456	0.22388013531554762	0.2290268629548618	0.26071342248094476
5988000	-24675.441376846586	-24168.98474971097	-506.456627135615	-24168.98474971097	-484.86646295572933	30.109146033510456	1	1	1	0	1	1	2.429915	2.429915	2.429915	1.240911	0.310881	0.331420	0.0	0.053761	0.030885	5	2.41849677047129E-4	1.9709130695569121	0.2863795792486456	0.22388013531554762	0.2290268629548618	0.26071342248094476
5990000	-24659.243478231376	-24162.719157584543	-496.52432064683376	-24162.719157584543	-478.1429177856996	30.110056694596235	1	1	1	0	0	1	2.207376	2.207376	2.207376	1.058644	0.340628	0.660234	0.0	0.0	0.121592	4	2.44844924532806E-4	1.9709130695569121	0.2863795792486456	0.22388013531554762	0.22283149049592366	0.2669087949398829
5992000	-24655.933893265224	-24159.660073686195	-496.273819579031	-24159.660073686195	-480.519091552471	29.13995556164424	1	1	1	0	0	1	2.428715	2.428715	2.428715	0.505382	0.415269	0.385187	0.0	0.0	0.121074	4	2.4786792817423965E-4	2.090990403801532	0.2863795792486456	0.22388013531554762	0.2258968446964909	0.26384344073931565
5994000	-24661.387742224422	-24158.79126979622	-502.5964724282037	-24158.79126979622	-485.91922135420594	29.873187902271837	1	1	1	0	0	1	2.026150	2.026150	2.026150	0.467328	0.174393	0.666174	0.0	0.0	0.053061	4	2.5123651406503626E-4	2.090990403801532	0.2863795792486456	0.22388013531554762	0.2258968446964909	0.26384344073931565
5996000	-24661.087409009917	-24158.906939615634	-502.18046939428257	-24158.906939615634	-479.85065776921806	29.87260778790614	1	1	1	0	1	1	2.245951	2.245951	2.245951	1.787682	0.227814	0.489978	0.0	0.042340	0.037410	5	2.596011517783689E-4	2.090990403801532	0.2863795792486456	0.22388013531554762	0.2258968446964909	0.26384344073931565
5998000	-24655.37396126527	-24158.674278427126	-496.6996828381457	-24158.674278427126	-476.6049120501611	29.8760397941153	1	1	1	0	1	0	1.962743	1.962743	1.962743	1.022317	0.247265	0.970823	0.0	0.156939	0.0	4	2.4772216108185296E-4	2.090990403801532	0.2863795792486456	0.22388013531554762	0.2258968446964909	0.26384344073931565
6000000	-24652.064706076933	-24159.11677182209	-492.94793425484534	-24159.11677182209	-476.5757859782269	30.208395757412898	1	1	1	0	0	1	2.222740	2.222740	2.222740	0.585166	0.625915	0.266131	0.0	0.0	0.087299	4	2.505663515619E-4	2.090990403801532	0.2863795792486456	0.21479211285825686	0.23498486715378167	0.26384344073931565
6002000	-24646.45421357048	-24148.170582711726	-498.28363085875503	-24148.170582711726	-477.86615434539374	29.02114517549779	1	1	1	0	1	1	2.863648	2.863648	2.863648	0.927610	0.561337	0.373004	0.0	0.034309	0.094238	5	2.760683711245647E-4	2.090990403801532	0.2863795792486456	0.21479211285825686	0.23498486715378167	0.26384344073931565
