"matrix"	"nSim"	"nSeq"	"protocol"	"model"
"7demes"	1	500	"maxPerRegionYear_10"	"dta"
"7demes"	1	500	"maxPerRegion_10"	"dta"
"7demes"	7	500	"biased_5"	"dta"
"7demes"	7	500	"maxPerRegionYear_10"	"dta"
"7demes"	7	500	"biased_20"	"dta"
"7demes"	7	500	"maxPerRegion_10"	"dta"
"7demes"	7	500	"biased_10"	"dta"
"7demes"	7	500	"uniform"	"dta"
"7demes"	7	500	"uniformS_20"	"dta"
"7demes"	7	500	"maxPerRegionYear_20"	"dta"
"7demes"	7	500	"biased_2.5"	"dta"
"7demes"	7	500	"uniformS_10"	"dta"
"7demes"	7	500	"maxPerRegion_20"	"dta"
"7demes"	7	500	"biased_50"	"dta"
"7demes"	5	500	"maxPerRegionYear_10"	"dta"
"7demes"	5	500	"maxPerRegionYear_20"	"dta"
"7demes"	5	500	"biased_20"	"dta"
"7demes"	5	500	"uniform"	"dta"
"7demes"	5	500	"biased_5"	"dta"
"7demes"	5	500	"uniformS_20"	"dta"
"7demes"	5	500	"biased_10"	"dta"
"7demes"	5	500	"uniformS_10"	"dta"
"7demes"	5	500	"biased_50"	"dta"
"7demes"	5	500	"maxPerRegion_20"	"dta"
"7demes"	5	500	"maxPerRegion_10"	"dta"
"7demes"	5	500	"biased_2.5"	"dta"
"7demes"	4	500	"biased_2.5"	"dta"
"7demes"	4	500	"biased_50"	"dta"
"7demes"	4	500	"biased_5"	"dta"
"7demes"	4	500	"uniform"	"dta"
"7demes"	4	500	"maxPerRegion_10"	"dta"
"7demes"	4	500	"uniformS_20"	"dta"
"7demes"	4	500	"biased_10"	"dta"
"7demes"	4	500	"maxPerRegion_20"	"dta"
"7demes"	4	500	"uniformS_10"	"dta"
"7demes"	4	500	"biased_20"	"dta"
"7demes"	4	500	"maxPerRegionYear_20"	"dta"
"7demes"	4	500	"maxPerRegionYear_10"	"dta"
"7demes"	10	500	"biased_10"	"dta"
"7demes"	10	500	"maxPerRegion_10"	"dta"
"7demes"	10	500	"biased_5"	"dta"
"7demes"	10	500	"biased_20"	"dta"
"7demes"	10	500	"maxPerRegion_20"	"dta"
"7demes"	10	500	"maxPerRegionYear_20"	"dta"
"7demes"	10	500	"maxPerRegionYear_10"	"dta"
"7demes"	10	500	"uniformS_10"	"dta"
"7demes"	10	500	"uniform"	"dta"
"7demes"	10	500	"uniformS_20"	"dta"
"7demes"	10	500	"biased_2.5"	"dta"
"7demes"	10	500	"biased_50"	"dta"
"7demes"	3	500	"biased_50"	"dta"
"7demes"	3	500	"biased_2.5"	"dta"
"7demes"	3	500	"biased_5"	"dta"
"7demes"	3	500	"uniform"	"dta"
"7demes"	3	500	"uniformS_20"	"dta"
"7demes"	3	500	"maxPerRegionYear_10"	"dta"
"7demes"	3	500	"uniformS_10"	"dta"
"7demes"	3	500	"maxPerRegion_10"	"dta"
"7demes"	3	500	"maxPerRegion_20"	"dta"
"7demes"	3	500	"biased_10"	"dta"
"7demes"	3	500	"biased_20"	"dta"
"7demes"	3	500	"maxPerRegionYear_20"	"dta"
"7demes"	9	500	"biased_5"	"dta"
"7demes"	9	500	"biased_20"	"dta"
"7demes"	9	500	"biased_50"	"dta"
"7demes"	9	500	"maxPerRegion_10"	"dta"
"7demes"	9	500	"uniform"	"dta"
"7demes"	9	500	"uniformS_20"	"dta"
"7demes"	9	500	"maxPerRegionYear_10"	"dta"
"7demes"	9	500	"maxPerRegion_20"	"dta"
"7demes"	9	500	"biased_10"	"dta"
"7demes"	9	500	"maxPerRegionYear_20"	"dta"
"7demes"	9	500	"uniformS_10"	"dta"
"7demes"	9	500	"biased_2.5"	"dta"
"7demes"	2	500	"maxPerRegion_10"	"dta"
"7demes"	2	500	"maxPerRegionYear_10"	"dta"
"7demes"	2	500	"biased_20"	"dta"
"7demes"	2	500	"maxPerRegion_20"	"dta"
"7demes"	2	500	"biased_10"	"dta"
"7demes"	2	500	"biased_5"	"dta"
"7demes"	2	500	"uniformS_20"	"dta"
"7demes"	2	500	"uniformS_10"	"dta"
"7demes"	2	500	"biased_2.5"	"dta"
"7demes"	2	500	"maxPerRegionYear_20"	"dta"
"7demes"	2	500	"uniform"	"dta"
"7demes"	2	500	"biased_50"	"dta"
"7demes"	6	500	"uniformS_20"	"dta"
"7demes"	6	500	"maxPerRegion_20"	"dta"
"7demes"	6	500	"maxPerRegionYear_20"	"dta"
"7demes"	6	500	"biased_20"	"dta"
"7demes"	6	500	"uniform"	"dta"
"7demes"	6	500	"maxPerRegionYear_10"	"dta"
"7demes"	6	500	"biased_10"	"dta"
"7demes"	6	500	"uniformS_10"	"dta"
"7demes"	6	500	"biased_2.5"	"dta"
"7demes"	6	500	"maxPerRegion_10"	"dta"
"7demes"	6	500	"biased_50"	"dta"
"7demes"	6	500	"biased_5"	"dta"
"7demes"	8	500	"biased_20"	"dta"
"7demes"	8	500	"biased_50"	"dta"
"7demes"	8	500	"maxPerRegion_20"	"dta"
"7demes"	8	500	"uniform"	"dta"
"7demes"	8	500	"maxPerRegionYear_10"	"dta"
"7demes"	8	500	"maxPerRegionYear_20"	"dta"
"7demes"	8	500	"biased_5"	"dta"
"7demes"	8	500	"biased_2.5"	"dta"
"7demes"	8	500	"uniformS_10"	"dta"
"7demes"	8	500	"biased_10"	"dta"
"7demes"	8	500	"uniformS_20"	"dta"
"7demes"	8	500	"maxPerRegion_10"	"dta"
"7demes"	1	500	"biased_2.5"	"mascot"
"7demes"	1	500	"maxPerRegionYear_20"	"mascot"
"7demes"	1	500	"biased_20"	"mascot"
"7demes"	1	500	"uniformS_20"	"mascot"
"7demes"	1	500	"uniformS_10"	"mascot"
"7demes"	1	500	"biased_10"	"mascot"
"7demes"	1	500	"biased_5"	"mascot"
"7demes"	1	500	"biased_50"	"mascot"
"7demes"	1	500	"maxPerRegionYear_10"	"mascot"
"7demes"	1	500	"maxPerRegion_10"	"mascot"
"7demes"	7	500	"biased_5"	"mascot"
"7demes"	7	500	"maxPerRegionYear_10"	"mascot"
"7demes"	7	500	"biased_20"	"mascot"
"7demes"	7	500	"maxPerRegion_10"	"mascot"
"7demes"	7	500	"biased_10"	"mascot"
"7demes"	7	500	"uniform"	"mascot"
"7demes"	7	500	"maxPerRegionYear_20"	"mascot"
"7demes"	7	500	"biased_2.5"	"mascot"
"7demes"	7	500	"uniformS_10"	"mascot"
"7demes"	7	500	"maxPerRegion_20"	"mascot"
"7demes"	7	500	"biased_50"	"mascot"
"7demes"	5	500	"maxPerRegionYear_20"	"mascot"
"7demes"	5	500	"uniform"	"mascot"
"7demes"	5	500	"uniformS_20"	"mascot"
"7demes"	5	500	"biased_10"	"mascot"
"7demes"	5	500	"uniformS_10"	"mascot"
"7demes"	5	500	"biased_50"	"mascot"
"7demes"	5	500	"maxPerRegion_20"	"mascot"
"7demes"	5	500	"maxPerRegion_10"	"mascot"
"7demes"	4	500	"biased_50"	"mascot"
"7demes"	4	500	"biased_5"	"mascot"
"7demes"	4	500	"uniform"	"mascot"
"7demes"	4	500	"uniformS_20"	"mascot"
"7demes"	4	500	"biased_10"	"mascot"
"7demes"	4	500	"maxPerRegionYear_20"	"mascot"
"7demes"	4	500	"maxPerRegionYear_10"	"mascot"
"7demes"	10	500	"biased_10"	"mascot"
"7demes"	10	500	"maxPerRegion_10"	"mascot"
"7demes"	10	500	"biased_5"	"mascot"
"7demes"	10	500	"biased_20"	"mascot"
"7demes"	10	500	"maxPerRegion_20"	"mascot"
"7demes"	10	500	"maxPerRegionYear_20"	"mascot"
"7demes"	10	500	"maxPerRegionYear_10"	"mascot"
"7demes"	10	500	"uniformS_10"	"mascot"
"7demes"	10	500	"uniform"	"mascot"
"7demes"	10	500	"uniformS_20"	"mascot"
"7demes"	10	500	"biased_2.5"	"mascot"
"7demes"	10	500	"biased_50"	"mascot"
"7demes"	3	500	"biased_50"	"mascot"
"7demes"	3	500	"biased_2.5"	"mascot"
"7demes"	3	500	"biased_5"	"mascot"
"7demes"	3	500	"uniform"	"mascot"
"7demes"	3	500	"maxPerRegionYear_10"	"mascot"
"7demes"	3	500	"maxPerRegion_10"	"mascot"
"7demes"	3	500	"maxPerRegion_20"	"mascot"
"7demes"	3	500	"biased_10"	"mascot"
"7demes"	3	500	"biased_20"	"mascot"
"7demes"	3	500	"maxPerRegionYear_20"	"mascot"
"7demes"	9	500	"biased_5"	"mascot"
"7demes"	9	500	"biased_20"	"mascot"
"7demes"	9	500	"biased_50"	"mascot"
"7demes"	9	500	"maxPerRegion_10"	"mascot"
