state	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	kappa	pInv	gammaShape	Mascot	migrationGLM_Clock	NeGLM_Clock	forwards_Africa_Americas	forwards_Africa_Asia	forwards_Africa_China	forwards_Africa_Europe	forwards_Africa_Oceania	forwards_Americas_Africa	forwards_Americas_Asia	forwards_Americas_China	forwards_Americas_Europe	forwards_Americas_Oceania	forwards_Asia_Africa	forwards_Asia_Americas	forwards_Asia_China	forwards_Asia_Europe	forwards_Asia_Oceania	forwards_China_Africa	forwards_China_Americas	forwards_China_Asia	forwards_China_Europe	forwards_China_Oceania	forwards_Europe_Africa	forwards_Europe_Americas	forwards_Europe_Asia	forwards_Europe_China	forwards_Europe_Oceania	forwards_Oceania_Africa	forwards_Oceania_Americas	forwards_Oceania_Asia	forwards_Oceania_China	forwards_Oceania_Europe	sumMigPredNonZero	sumNePredNonZero	nMigration_Africa_Americas	nMigration_Africa_Asia	nMigration_Africa_China	nMigration_Africa_Europe	nMigration_Africa_Oceania	nMigration_Americas_Africa	nMigration_Americas_Asia	nMigration_Americas_China	nMigration_Americas_Europe	nMigration_Americas_Oceania	nMigration_Asia_Africa	nMigration_Asia_Americas	nMigration_Asia_China	nMigration_Asia_Europe	nMigration_Asia_Oceania	nMigration_China_Africa	nMigration_China_Americas	nMigration_China_Asia	nMigration_China_Europe	nMigration_China_Oceania	nMigration_Europe_Africa	nMigration_Europe_Americas	nMigration_Europe_Asia	nMigration_Europe_China	nMigration_Europe_Oceania	nMigration_Oceania_Africa	nMigration_Oceania_Americas	nMigration_Oceania_Asia	nMigration_Oceania_China	nMigration_Oceania_Europe	nrMigrationEvents
36150000	-44501.194432886135	-44468.15146819452	-33.04296469161884	-44468.15146819452	0.2740050010679178	0.0014767941568721	5.738506918049415	0.7587778028021905	0.4345852966688185	20.19620737672049	1.0941107529849838	0.1281135693118919	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	9.416083358168768	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	1.0941107529849838	73.11916655023501	1.0941107529849838	2	1	1	0	0	2	1	0	0	0	0	1	1	2	1	0	3	2	9	28	6	4	1	5	2	2	1	1	0	2	58	1	134
36200000	-44496.328368701485	-44454.22839026952	-42.09997843196409	-44454.22839026952	0.2552143835634628	0.0014039952900875	6.826599042743359	0.7955241409697904	0.2621189983062659	10.09952577921099	1.596242055798387	0.1154027484569867	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	2.180186063555957	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	10.1332947752276	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	1.596242055798387	53.71277813571639	1.596242055798387	3	1	0	0	1	1	1	0	0	0	0	1	0	3	3	0	3	2	11	29	9	5	1	2	2	1	2	1	1	3	53	2	137
36250000	-44537.29194707674	-44466.22486805064	-71.06707902609921	-44466.22486805064	0.2672317717134297	0.0014414207783932	5.823533062516551	0.8090151395976906	0.4421439509496903	-17.953810121990116	1.2854872872629444	0.1418376111128362	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	8.256369764898112	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	1.2854872872629444	20.55124778227567	1.2854872872629444	2	1	2	0	0	1	0	0	0	0	0	0	2	3	0	2	2	0	5	29	2	5	2	3	1	1	1	0	4	0	32	3	100
36300000	-44519.9281516544	-44461.1086464814	-58.819505173002426	-44461.1086464814	0.2778198113301727	0.0014002134782631	7.161619660454765	0.7050684429782424	0.6373845867441003	3.943430098517818	1.4750431516226878	0.1497851671953805	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.5060806667494877	49.112212815833	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	1.4750431516226878	2	1	1	0	2	2	2	0	0	0	0	0	0	1	1	3	2	1	11	40	5	2	1	3	1	2	0	1	2	1	3	2	89
36350000	-44491.96332246615	-44487.63597535603	-4.327347110115106	-44487.63597535603	0.2476557879223785	0.0014740400604412	5.766103131511487	0.6131847024889294	0.1459361586241396	41.58053427635391	1.3175260596009557	0.1125169996622133	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	0.5992088332005532	1.3175260596009557	1.3175260596009557	1.3175260596009557	8.39068622870205	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	1.3175260596009557	2	1	1	0	0	1	1	1	1	4	0	1	1	2	0	2	1	1	12	20	7	3	1	3	1	1	0	0	1	1	3	1	71
36400000	-44505.28518020622	-44475.76097189704	-29.524208309184417	-44475.76097189704	0.2300441718029556	0.001533518002607	6.6972105282459164	0.7651461990898318	0.6151206129626655	20.16007288451584	1.2752425596415378	0.1355194580042478	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	0.4748377940021918	1.2752425596415378	1.2752425596415378	1.2752425596415378	10.104212370593729	1.2752425596415378	1.2752425596415378	1.2752425596415378	2.1498128707422763	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	1.2752425596415378	3	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	2	1	9	24	8	3	1	5	2	2	1	0	2	4	1	1	70
36450000	-44505.71457380678	-44469.10431460927	-36.61025919750399	-44469.10431460927	0.2386125844450546	0.0013792126024881	7.294227367909388	0.8206716791805478	1.0026426514920812	19.77694715882111	1.1055982584645898	0.1413904061039135	1.1055982584645898	1.1055982584645898	1.7673399426526553	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	12.096997491013813	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	1.1055982584645898	2	1	0	2	0	0	0	0	0	2	0	3	0	4	2	1	0	1	8	32	7	6	2	3	2	1	1	0	1	0	0	0	78
36500000	-44497.61013743448	-44458.60741470111	-39.00272273336711	-44458.60741470111	0.2899544102813757	0.0014662504400991	6.610426919433368	0.8046344208133168	0.9466662665296532	10.307860006889577	1.7011925555784988	0.1669486197022501	1.7011925555784988	1.7011925555784988	0.976269264973723	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	12.498485031861698	0.8129107418447651	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	1.7011925555784988	3	1	0	0	1	1	2	1	1	1	0	1	1	2	5	1	0	2	14	33	5	8	1	4	1	2	0	0	0	1	1	2	91
36550000	-44504.27947193847	-44462.87594786733	-41.4035240711441	-44462.87594786733	0.251944875933586	0.0014056565913662	6.529237468917232	0.8081303284121015	0.2567604695247695	2.4200147683107467	1.807008864403004	0.1322315199346624	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	5.437861854792014	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1.807008864403004	1	1	1	0	0	2	0	1	0	0	2	0	1	4	2	0	0	1	10	27	6	5	1	5	3	1	2	0	1	2	0	1	78
36600000	-44537.78470885354	-44453.10812802081	-84.67658083273491	-44453.10812802081	0.2542620969691272	0.0013150211989429	8.010771310061378	0.8081303284121015	2.118218917431821	-35.68067588968587	1.415708850879973	0.1760177624415088	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	7.08473209530326	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1.415708850879973	1	1	0	0	0	2	0	1	0	1	0	0	1	2	0	1	0	1	8	29	8	4	0	4	1	2	2	0	2	1	1	0	71
36650000	-44516.149003733335	-44475.79021515856	-40.35878857477502	-44475.79021515856	0.2534336916407157	0.0014181943721237	6.276686542738702	0.80813395094287	1.7627614689972328	10.57452635315444	0.6205342001199882	0.1580088019135445	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	3.7628123314538047	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	0.6205342001199882	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	2	1	0	11	26	10	6	1	3	1	0	0	0	1	0	0	0	65
36700000	-44483.93717010242	-44474.70293068162	-9.23423942080126	-44474.70293068162	0.2264145850851236	0.0013925830752603	6.406955855079618	0.7302276644453367	0.204986388600055	36.91569503044984	1.017098303743536	0.1375289781165196	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	5.661431315693929	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1.017098303743536	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	13	27	10	5	1	4	1	1	1	0	0	0	0	0	68
36750000	-44486.533674836246	-44486.11614939764	-0.4175254386084219	-44486.11614939764	0.2355962401349375	0.0014194132713869	5.1071983108363685	0.7054008563791999	0.2666783530583534	50.03762978423424	0.8346402446339036	0.1226472557733173	0.8346402446339036	1.9723503087398708	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.4200051245284505	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	4.630886281510117	5.412098218338409	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.8346402446339036	0.535739007131245	0.8346402446339036	0.8346402446339036	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	14	25	8	3	1	4	2	1	1	0	0	0	0	0	64
36800000	-44471.899956548405	-44468.9111936702	-2.988762878199573	-44468.9111936702	0.3110351992372012	0.0014403668892904	5.4337819640905245	0.8424213916747866	1.106042583387746	45.258825578486665	0.8961832646081799	0.1353143985234612	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	4.268344676622573	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	1.923756474755644	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	4.112721809399999	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	0.8961832646081799	3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	14	18	8	6	1	3	5	1	1	0	1	1	1	0	63
36850000	-44526.13080876332	-44489.91772251161	-36.21308625171064	-44489.91772251161	0.3105508903078477	0.0013010966097897	5.918266921636606	0.8564868730148695	0.8130554318021811	13.098078024278436	0.6989868802567357	0.162272659506838	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	3.395377434681704	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	0.6989868802567357	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	6	1	1	11	21	5	7	1	3	1	0	0	0	2	0	1	1	64
36900000	-44590.14477747506	-44495.03415691519	-95.1106205598744	-44495.03415691519	0.2816576696763821	0.0012505975148893	8.298747103140004	0.8098021107924417	0.726509507305003	-40.78183646447045	0.8975298072224621	0.1866424917893361	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	6.7856210750618144	0.9062407055387818	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	0.8975298072224621	2	1	1	0	1	2	0	0	0	2	0	0	0	1	2	1	5	0	7	20	6	2	2	2	4	3	0	0	3	2	1	0	67
36950000	-44553.75445632821	-44470.85763273075	-82.89682359745905	-44470.85763273075	0.258171654123052	0.0013368277091368	6.3322683967583	0.6533364325736539	0.1707384152999378	-33.64212726150579	0.8347593917204723	0.1733827674653044	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.714681994509046	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	3.5242946635953496	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	0.8347593917204723	2	1	0	0	0	0	0	0	0	0	0	0	0	4	4	1	1	0	8	17	7	6	1	3	2	2	2	0	1	2	2	2	65
