traits	patch	samp.dates	short.names
1_36269_2019.005479	2	2019.005479	1_36269
0_19467_2018.912329	1	2018.912329	0_19467
0_19466_2018.876712	1	2018.876712	0_19466
0_19465_2018.912329	1	2018.912329	0_19465
0_19464_2018.884932	1	2018.884932	0_19464
1_36268_2018.849315	2	2018.849315	1_36268
0_19459_2018.928767	1	2018.928767	0_19459
1_36265_2019.00274	2	2019.00274	1_36265
1_36264_2018.906849	2	2018.906849	1_36264
1_36261_2018.871233	2	2018.871233	1_36261
1_36259_2018.969863	2	2018.969863	1_36259
0_19456_2018.906849	1	2018.906849	0_19456
1_36257_2018.953425	2	2018.953425	1_36257
0_19452_2018.841096	1	2018.841096	0_19452
0_19451_2018.887671	1	2018.887671	0_19451
1_36251_2018.860274	2	2018.860274	1_36251
1_36248_2018.994521	2	2018.994521	1_36248
1_36246_2018.852055	2	2018.852055	1_36246
1_36242_2018.884932	2	2018.884932	1_36242
1_36238_2018.89863	2	2018.89863	1_36238
0_19444_2018.832877	1	2018.832877	0_19444
0_19443_2018.852055	1	2018.852055	0_19443
2_31233_2018.846575	3	2018.846575	2_31233
0_19440_2018.865753	1	2018.865753	0_19440
0_19439_2018.846575	1	2018.846575	0_19439
0_19436_2018.99726	1	2018.99726	0_19436
0_19435_2018.838356	1	2018.838356	0_19435
0_19432_2018.89589	1	2018.89589	0_19432
0_19431_2018.860274	1	2018.860274	0_19431
0_19430_2018.876712	1	2018.876712	0_19430
0_19429_2018.849315	1	2018.849315	0_19429
2_31232_2018.884932	3	2018.884932	2_31232
1_36230_2018.890411	2	2018.890411	1_36230
1_36229_2018.931507	2	2018.931507	1_36229
1_36227_2018.90411	2	2018.90411	1_36227
0_19428_2018.838356	1	2018.838356	0_19428
0_19423_2018.871233	1	2018.871233	0_19423
0_19422_2018.939726	1	2018.939726	0_19422
0_19420_2018.865753	1	2018.865753	0_19420
1_36223_2018.912329	2	2018.912329	1_36223
0_19418_2018.835616	1	2018.835616	0_19418
0_19417_2018.827397	1	2018.827397	0_19417
0_19416_2018.868493	1	2018.868493	0_19416
0_19415_2018.849315	1	2018.849315	0_19415
0_19413_2018.832877	1	2018.832877	0_19413
0_19412_2018.819178	1	2018.819178	0_19412
